Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3303","38.1"
"1079000","0","3294","46.5"
"2159000","2079400","3288","53.6"
"3239000","2079400","3291","60.7"
"4318000","2079400","3290","69.1"
"5653000","2079400","3287","77.6"
"6738000","2079400","3291","86.1"
"7818000","2079400","3290","93.1"
"8898000","2079400","3291","100.2"
"9977000","2135000","3290","108.7"
"11312000","2135000","3292","117.2"
"12391000","2135000","3291","125.6"
"13471000","2135000","3289","132.7"
"14551000","2135000","3292","141.2"
"15630000","2135000","3292","148.2"
"16971000","2135000","3290","156.7"
"18056000","2118700","3291","165.2"
"19136000","2118700","3291","172.2"
"20215000","2118700","3289","179.3"
"21295000","2118700","3290","187.8"
"22631000","2118700","3289","196.2"
"23711000","2118700","3290","204.7"
"24791000","2118700","3290","211.8"
"25869000","2081100","3290","218.8"
"26954000","2081100","3290","227.3"
"28288000","2081100","3290","235.8"
"29367000","2081100","3290","244.3"
"30447000","2081100","3289","251.3"
"31526000","2081100","3291","258.4"
"32606000","2081100","3291","266.9"
"33941000","2120700","3290","275.3"
"35020000","2120700","3291","283.8"
"36100000","2120700","3291","290.9"
"37186000","2120700","3290","297.9"
"38265000","2120700","3291","306.4"
"39600000","2120700","3291","314.9"
"40680000","2120700","3291","321.9"
"41760000","2134600","3291","330.4"
"42839000","2134600","3290","337.5"
"43920000","2134600","3291","345.9"
"45255000","2134600","3291","354.4"
"46341000","2134600","3291","361.5"
"47420000","2134600","3291","369.9"
"48500000","2134600","3290","377.0"
"49579000","2079400","3291","384.1"
"50915000","2079400","3291","393.9"
"51994000","2079400","3291","401.0"
"53074000","2079400","3291","409.5"
"54152000","2079400","3291","416.5"
"55231000","2079400","3291","423.6"
"56571000","2079400","3291","433.5"
"57650000","2121100","3291","440.5"
"58729000","2121100","3291","449.0"
"59813000","2121100","3291","456.1"
"60893000","2121100","3291","464.6"
"62228000","2121100","3291","473.0"
"63306000","2121100","3291","481.5"
"64386000","2121100","3291","488.6"
"65467000","2135200","3291","495.6"
"66551000","2135200","3291","502.7"
"67887000","2135200","3291","512.6"
"68967000","2135200","3290","519.6"
"70046000","2135200","3291","528.1"
"71126000","2135200","3291","535.2"
"72206000","2135200","3290","542.2"
"73541000","2119900","3291","552.1"
"74621000","2119900","3290","559.2"
"75701000","2119900","3291","567.6"
"76786000","2119900","3291","574.7"
"77865000","2119900","3291","581.8"
"79200000","2119900","3291","591.7"
"80280000","2119900","3291","598.7"
"81360000","2134600","3291","607.2"
"82441000","2134600","3291","614.2"
"83522000","2134600","3291","621.3"
"84856000","2134600","3291","631.2"
"85936000","2134600","3291","638.3"
"87021000","2134600","3291","645.3"
"88101000","2134600","3290","653.8"
"89182000","2078800","3290","660.8"
"90517000","2078800","3291","670.7"
"91596000","2078800","3290","677.8"
"92677000","2078800","3291","686.3"
"93758000","2078800","3291","693.3"
"94837000","2078800","3290","700.4"
"96172000","2078800","3291","710.3"
"97257000","2119700","3290","717.3"
"98336000","2119700","3291","725.8"
"99417000","2119700","3291","732.9"
"100496000","2119700","3290","739.9"
"101836000","2119700","3291","749.8"
"102917000","2119700","3291","756.9"
"103996000","2119700","3291","765.4"
"105077000","2134500","3292","772.4"
"106156000","2134500","3290","779.5"
"107497000","2134500","3291","789.4"
"108578000","2134500","3291","796.4"
"109657000","2134500","3291","804.9"
"110738000","2134500","3291","812.0"
"111817000","2134500","3290","819.0"
"113152000","2119900","3291","828.9"
"114231000","2119900","3290","836.0"
"115311000","2119900","3291","844.4"
"116396000","2119900","3291","851.5"
"117476000","2119900","3290","858.6"
"118812000","2119900","3291","868.4"
"119892000","2119900","3291","875.5"
"120971000","2079500","3291","882.6"
"122050000","2079500","3291","891.0"
"123130000","2079500","3291","898.1"
"124464000","2079500","3291","908.0"
"125544000","2079500","3291","915.0"
"126630000","2079500","3291","922.1"
"127710000","2079500","3291","930.6"
"128790000","2134500","3291","937.6"
"130125000","2134500","3292","947.5"
"131205000","2134500","3292","954.6"
"132284000","2134500","3291","961.6"
"133363000","2134500","3291","970.1"
"134443000","2134500","3291","977.2"
"135779000","2134500","3292","987.1"
"136865000","2119900","3292","994.1"
"137944000","2119900","3291","1001.2"
"139024000","2119900","3292","1009.7"
"140104000","2119900","3291","1016.7"
"141439000","2119900","3292","1026.6"
"142519000","2119900","3292","1033.7"
"143603000","2119900","3292","1042.1"
"144683000","2134800","3292","1049.2"
"145763000","2134800","3292","1056.3"
"147104000","2134800","3292","1066.1"
"148185000","2134800","3292","1073.2"
"149264000","2134800","3292","1081.7"
"150343000","2134800","3292","1088.7"
"151423000","2134800","3292","1095.8"
"152759000","2119700","3292","1105.7"
"153838000","2119700","3292","1112.7"
"154917000","2119700","3291","1119.8"
"155997000","2119700","3292","1128.3"
"157083000","2119700","3292","1135.3"
"158418000","2119700","3292","1145.2"
"159499000","2119700","3292","1152.3"
"160577000","2079700","3291","1159.3"
"161657000","2079700","3291","1167.8"
"162736000","2079700","3291","1174.9"
"164071000","2079700","3292","1184.8"
"165151000","2079700","3292","1191.8"
"166231000","2079700","3291","1198.9"
"167316000","2079700","3291","1207.4"
"168395000","2134800","3292","1214.4"
"169731000","2134800","3291","1222.9"
"170811000","2134800","3291","1231.4"
"171890000","2134800","3291","1238.4"
"172970000","2134800","3291","1246.9"
"174050000","2134800","3291","1254.0"
"175385000","2134800","3291","1263.9"
"176471000","2119700","3291","1270.9"
"177550000","2119700","3292","1278.0"
"178631000","2119700","3291","1286.5"
"179710000","2119700","3291","1293.5"
"181044000","2119700","3292","1303.4"
"182124000","2119700","3292","1310.5"
"183203000","2119700","3290","1317.5"
"184282000","2136800","3291","1326.0"
"185365000","2136800","3291","1333.1"
"186706000","2136800","3290","1342.9"
"187785000","2136800","3290","1350.0"
"188864000","2136800","3291","1357.1"
"189945000","2136800","3290","1365.5"
"191025000","2136800","3290","1372.6"
"192360000","2119000","3290","1382.5"
"193440000","2119000","3290","1389.5"
"194518000","2119000","3291","1396.6"
"195598000","2119000","3290","1405.1"
"196683000","2119000","3290","1412.1"
"198018000","2119000","3290","1422.0"
"199097000","2119000","3290","1429.1"
"200176000","2080400","3289","1436.1"
"201255000","2080400","3290","1444.6"
"202336000","2080400","3290","1451.7"
"203671000","2080400","3290","1460.1"
"204751000","2080400","3290","1468.6"
"205831000","2080400","3289","1475.7"
"206916000","2080400","3290","1482.7"
"207996000","2134100","3290","1491.2"
"209331000","2134100","3290","1499.7"
"210411000","2134100","3290","1508.2"
"211490000","2134100","3290","1515.2"
"212571000","2134100","3290","1522.3"
"213650000","2134100","3290","1530.8"
"214987000","2134100","3290","1539.2"
"216066000","2121200","3290","1547.7"
"217152000","2121200","3290","1554.8"
"218233000","2121200","3291","1561.8"
"219312000","2121200","3291","1570.3"
"220646000","2121200","3290","1578.8"
"221726000","2121200","3291","1587.2"
"222805000","2121200","3291","1594.3"
"223886000","2079200","3291","1601.4"
"224966000","2079200","3291","1609.8"
"226301000","2079200","3291","1619.7"
"227392000","2079200","3291","1626.8"
"228471000","2079200","3292","1633.8"
"229552000","2079200","3291","1642.3"
"230632000","2079200","3291","1649.4"
"231966000","2172000","3292","1659.3"
"233047000","2172000","3292","1666.3"
"234126000","2172000","3291","1673.4"
"235206000","2172000","3291","1680.4"
"236286000","2172000","3292","1688.9"
"237628000","2172000","3291","1697.4"
"238707000","2172000","3292","1705.9"
"239787000","2079000","3292","1712.9"
"240866000","2079000","3292","1721.4"
"241947000","2079000","3292","1728.5"
"243282000","2079000","3292","1736.9"
"244363000","2079000","3293","1745.4"
"245442000","2079000","3292","1752.5"
"246527000","2079000","3293","1759.5"
"247608000","2133900","3293","1768.0"
"248943000","2133900","3292","1776.5"
"250023000","2133900","3293","1785.0"
"251103000","2133900","3293","1792.0"
"252183000","2133900","3292","1799.1"
"253263000","2133900","3293","1807.6"
"254597000","2133900","3293","1816.0"
"255676000","2121600","3293","1824.5"
"256762000","2121600","3293","1831.6"
"257842000","2121600","3293","1838.6"
"258921000","2121600","3293","1847.1"
"260257000","2121600","3293","1855.6"
"261337000","2121600","3293","1864.0"
"262417000","2121600","3293","1871.1"
"263496000","2134500","3293","1879.6"
"264576000","2134500","3292","1886.6"
"265911000","2134500","3292","1895.1"
"266997000","2134500","3292","1903.6"
"268075000","2134500","3293","1910.6"
"269158000","2134500","3292","1917.7"
"270237000","2134500","3292","1926.2"
"271573000","2066000","3291","1934.6"
"272652000","2066000","3292","1943.1"
"273732000","2066000","3292","1950.2"
"274812000","2066000","3291","1957.2"
"275893000","2066000","3292","1965.7"
"277234000","2066000","3292","1974.2"
"278313000","2066000","3292","1982.7"
"279392000","2134500","3292","1989.7"
"280471000","2134500","3291","1996.8"
"281550000","2134500","3291","2005.3"
"282884000","2134500","3291","2013.7"
"283964000","2134500","3292","2020.8"
"285043000","2134500","3292","2029.3"
"286124000","2134500","3292","2036.3"
"287209000","2080000","3293","2043.4"
"288544000","2080000","3292","2053.3"
"289624000","2080000","3292","2060.3"
"290704000","2080000","3292","2068.8"
"291784000","2080000","3291","2075.9"
"292864000","2080000","3292","2084.3"
"294199000","2080000","3292","2092.8"
"295280000","2121100","3292","2099.9"
"296364000","2121100","3292","2108.3"
"297444000","2121100","3291","2115.4"
"298524000","2121100","3292","2122.5"
"299859000","2121100","3292","2132.4"
"300939000","2121100","3291","2139.4"
"302019000","2121100","3292","2147.9"
"303099000","2134500","3291","2154.9"
"304178000","2134500","3291","2162.0"
"305512000","2134500","3291","2171.9"
"306597000","2134500","3292","2178.9"
"307678000","2134500","3292","2187.4"
"308758000","2134500","3292","2194.5"
"309838000","2134500","3292","2203.0"
"311177000","2119000","3292","2211.4"
"312257000","2119000","3292","2219.9"
"313337000","2119000","3293","2227.0"
"314416000","2119000","3292","2234.0"
"315495000","2119000","3293","2242.5"
"316835000","2119000","3292","2251.0"
"317915000","2119000","3292","2258.0"
"318995000","2134800","3293","2266.5"
"320075000","2134800","3292","2273.6"
"321155000","2134800","3292","2280.6"
"322490000","2134800","3293","2290.5"
"323570000","2134800","3292","2297.6"
"324650000","2134800","3292","2306.1"
"325730000","2134800","3292","2313.1"
"326815000","2134500","3292","2321.6"
"328149000","2134500","3293","2330.1"
"329229000","2134500","3293","2337.1"
"330309000","2134500","3293","2345.6"
"331389000","2134500","3293","2352.7"
"332468000","2134500","3293","2359.7"
"333803000","2134500","3293","2369.6"
"334882000","2068500","3292","2376.7"
"335962000","2068500","3293","2383.7"
"337047000","2068500","3294","2392.2"
"338128000","2068500","3293","2399.3"
"339463000","2068500","3293","2409.1"
"340543000","2068500","3292","2416.2"
"341622000","2068500","3293","2424.7"
"342702000","2134500","3293","2431.7"
"343782000","2134500","3292","2438.8"
"345116000","2134500","3292","2448.7"
"346197000","2134500","3292","2455.7"
"347282000","2134500","3292","2464.2"
"348362000","2134500","3293","2471.3"
"349440000","2134500","3291","2478.3"
"350775000","2120200","3292","2488.2"
"351856000","2120200","3291","2495.3"
"352950000","2120200","3292","2503.8"
"354030000","2120200","3292","2510.8"
"355109000","2120200","3291","2517.9"
"356450000","2120200","3291","2527.8"
"357531000","2120200","3291","2534.8"
"358610000","2130400","3291","2543.3"
"359688000","2130400","3291","2550.4"
"360767000","2130400","3291","2557.4"
"362103000","2130400","3291","2567.3"
"363183000","2130400","3291","2574.4"
"364263000","2130400","3291","2582.8"
"365342000","2130400","3291","2589.9"
"366427000","2079900","3291","2597.0"
"367763000","2079900","3291","2606.8"
"368842000","2079900","3290","2613.9"
"369922000","2079900","3291","2621.0"
"371003000","2079900","3292","2629.4"
"372082000","2079900","3291","2636.5"
"373418000","2079900","3291","2646.4"
"374497000","2121200","3291","2653.4"
"375576000","2121200","3291","2660.5"
"376662000","2121200","3291","2669.0"
"377742000","2121200","3291","2676.0"
"379078000","2121200","3291","2685.9"
"380158000","2121200","3290","2693.0"
"381239000","2121200","3291","2701.5"
"382319000","2133800","3291","2708.5"
"383399000","2133800","3291","2715.6"
"384734000","2133800","3291","2725.5"
"385814000","2133800","3290","2732.5"
"386899000","2133800","3291","2741.0"
"387980000","2133800","3291","2748.1"
"389060000","2133800","3291","2755.1"
"390395000","2119500","3291","2765.0"
"391474000","2119500","3291","2772.1"
"392554000","2119500","3291","2780.6"
"393634000","2119500","3291","2787.6"
"394713000","2119500","3291","2794.7"
"396053000","2119500","3291","2804.6"
"397137000","2119500","3291","2811.6"
"398216000","2134100","3291","2820.1"
"399296000","2134100","3291","2827.2"
"400376000","2134100","3291","2834.2"
"401711000","2134100","3291","2844.1"
"402789000","2134100","3291","2851.2"
"403868000","2134100","3291","2858.2"
"404948000","2134100","3291","2866.7"
"406028000","2081400","3291","2873.8"
"407369000","2081400","3291","2883.6"
"408450000","2081400","3291","2890.7"
"409530000","2081400","3291","2899.2"
"410610000","2081400","3291","2906.2"
