Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3271","38.1"
"1079000","0","3295","46.5"
"2159000","2079500","3293","53.6"
"3239000","2079500","3289","60.7"
"4319000","2079500","3292","67.7"
"5654000","2079500","3292","77.6"
"6735000","2079500","3291","84.7"
"7814000","2079500","3289","91.7"
"8894000","2079500","3291","98.8"
"9980000","2023900","3289","105.8"
"11315000","2023900","3291","115.7"
"12395000","2023900","3290","122.8"
"13475000","2023900","3291","129.8"
"14560000","2023900","3291","138.3"
"15639000","2023900","3290","145.4"
"16974000","2023900","3289","153.8"
"18054000","2066800","3291","160.9"
"19133000","2066800","3292","169.4"
"20219000","2066800","3291","176.4"
"21297000","2066800","3290","183.5"
"22632000","2066800","3292","192.0"
"23713000","2066800","3292","200.4"
"24792000","2066800","3292","207.5"
"25872000","2079700","3291","214.6"
"26951000","2079700","3291","221.6"
"28286000","2079700","3291","231.5"
"29365000","2079700","3291","238.6"
"30449000","2079700","3290","245.6"
"31529000","2079700","3290","252.7"
"32609000","2079700","3290","261.2"
"33944000","2067300","3290","269.6"
"35024000","2067300","3290","276.7"
"36104000","2067300","3291","283.7"
"37185000","2067300","3291","292.2"
"38264000","2067300","3290","299.3"
"39599000","2067300","3290","307.7"
"40684000","2067300","3291","314.8"
"41763000","2079400","3291","323.3"
"42843000","2079400","3291","330.3"
"43921000","2079400","3290","337.4"
"45256000","2079400","3291","347.3"
"46335000","2079400","3291","354.3"
"47415000","2079400","3290","361.4"
"48495000","2079400","3291","368.5"
"49575000","2026200","3291","375.5"
"50916000","2026200","3291","385.4"
"51996000","2026200","3291","392.5"
"53075000","2026200","3291","399.5"
"54155000","2026200","3291","406.6"
"55235000","2026200","3291","415.1"
"56574000","2026200","3291","423.5"
"57654000","2065300","3291","430.6"
"58735000","2065300","3291","437.6"
"59814000","2065300","3291","446.1"
"60899000","2065300","3291","453.2"
"62235000","2065300","3291","461.6"
"63315000","2065300","3291","470.1"
"64396000","2065300","3291","477.2"
"65475000","2079000","3291","484.2"
"66555000","2079000","3291","491.3"
"67889000","2079000","3291","501.2"
"68969000","2079000","3291","508.2"
"70055000","2079000","3291","515.3"
"71135000","2079000","3290","522.4"
"72214000","2079000","3291","530.8"
"73549000","2066700","3291","539.3"
"74629000","2066700","3290","546.4"
"75709000","2066700","3291","553.4"
"76788000","2066700","3291","561.9"
"77868000","2066700","3291","569.0"
"79202000","2066700","3290","577.4"
"80287000","2066700","3290","584.5"
"81367000","2079900","3291","593.0"
"82447000","2079900","3291","600.0"
"83528000","2079900","3291","607.1"
"84864000","2079900","3291","617.0"
"85943000","2079900","3291","624.0"
"87022000","2079900","3291","631.1"
"88102000","2079900","3291","638.1"
"89182000","2025400","3291","645.2"
"90523000","2025400","3291","655.1"
"91603000","2025400","3291","662.1"
"92682000","2025400","3291","669.2"
"93762000","2025400","3291","677.7"
"94842000","2025400","3291","684.7"
"96177000","2025400","3291","693.2"
"97256000","2066700","3290","700.3"
"98372000","2066700","3290","708.7"
"99452000","2066700","3290","715.8"
"100537000","2066700","3291","722.9"
"101872000","2066700","3290","732.7"
"102951000","2066700","3290","739.8"
"104030000","2066700","3290","746.9"
"105110000","2070100","3290","753.9"
"106191000","2070100","3290","762.4"
"107526000","2070100","3290","770.9"
"108606000","2070100","3290","777.9"
"109685000","2070100","3290","785.0"
"110771000","2070100","3290","793.5"
"111851000","2070100","3290","800.5"
"113184000","2066800","3289","809.0"
"114263000","2066800","3290","817.5"
"115343000","2066800","3289","824.5"
"116422000","2066800","3289","831.6"
"117502000","2066800","3290","838.6"
"118837000","2066800","3289","848.5"
"119923000","2066800","3289","855.6"
"121004000","2079400","3290","862.6"
"122083000","2079400","3290","869.7"
"123164000","2079400","3290","878.2"
"124499000","2079400","3290","886.6"
"125578000","2079400","3290","893.7"
"126657000","2079400","3290","900.8"
