Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3269","39.5"
"1080000","0","3290","48.0"
"2158000","2136600","3288","55.0"
"3243000","2136600","3284","62.1"
"4322000","2136600","3290","70.6"
"5657000","2136600","3288","79.0"
"6736000","2136600","3292","87.5"
"7816000","2136600","3291","94.6"
"8895000","2136600","3292","101.6"
"9975000","2135400","3291","110.1"
"11310000","2135400","3289","118.6"
"12389000","2135400","3291","127.1"
"13475000","2135400","3290","134.1"
"14553000","2135400","3290","142.6"
"15632000","2135400","3290","149.6"
"16965000","2135400","3290","158.1"
"18045000","2121100","3290","166.6"
"19124000","2121100","3289","173.7"
"20204000","2121100","3290","180.7"
"21283000","2121100","3290","189.2"
"22624000","2121100","3289","197.7"
"23708000","2121100","3290","206.1"
"24787000","2121100","3289","213.2"
"25867000","2133800","3290","221.7"
"26946000","2133800","3290","228.7"
"28281000","2133800","3289","237.2"
"29360000","2133800","3290","245.7"
"30439000","2133800","3290","252.7"
"31517000","2133800","3289","259.8"
"32603000","2133800","3290","268.3"
"33938000","2067600","3289","276.7"
"35017000","2067600","3290","285.2"
"36096000","2067600","3290","292.3"
"37175000","2067600","3289","299.3"
"38255000","2067600","3290","307.8"
"39589000","2067600","3290","316.3"
"40669000","2067600","3290","324.8"
"41748000","2136900","3290","331.8"
"42833000","2136900","3290","338.9"
"43913000","2136900","3290","347.4"
"45248000","2136900","3290","355.8"
"46327000","2136900","3290","364.3"
"47405000","2136900","3290","371.4"
"48483000","2136900","3291","378.4"
"49563000","2135700","3291","386.9"
"50898000","2135700","3290","395.4"
"51977000","2135700","3291","403.8"
"53061000","2135700","3291","410.9"
"54140000","2135700","3290","418.0"
"55219000","2135700","3291","426.4"
"56553000","2135700","3291","434.9"
"57632000","2121400","3291","443.4"
"58710000","2121400","3291","450.4"
"59790000","2121400","3292","457.5"
"60869000","2121400","3292","466.0"
"62204000","2121400","3291","474.5"
"63289000","2121400","3291","482.9"
"64367000","2121400","3291","490.0"
"65450000","2079900","3291","497.0"
"66530000","2079900","3291","505.5"
"67864000","2079900","3291","514.0"
"68944000","2079900","3291","522.5"
"70023000","2079900","3291","529.5"
"71102000","2079900","3291","536.6"
"72180000","2079900","3292","543.6"
"73520000","2121100","3292","553.5"
"74600000","2121100","3292","560.6"
"75679000","2121100","3292","569.1"
"76759000","2121100","3292","576.1"
"77838000","2121100","3292","584.6"
"79173000","2121100","3292","593.1"
"80252000","2121100","3292","601.6"
"81332000","2136600","3292","608.6"
"82412000","2136600","3291","615.7"
"83497000","2136600","3292","624.2"
"84831000","2136600","3292","632.6"
"85910000","2136600","3292","639.7"
"86990000","2136600","3292","648.2"
"88069000","2136600","3292","655.2"
"89148000","2135400","3292","663.7"
"90483000","2135400","3292","672.2"
"91562000","2135400","3292","680.6"
"92647000","2135400","3292","687.7"
"93726000","2135400","3292","694.8"
"94805000","2135400","3292","703.2"
"96140000","2135400","3291","711.7"
"97219000","2120900","3291","720.2"
"98298000","2120900","3291","727.2"
"99378000","2120900","3291","734.3"
"100457000","2120900","3291","742.8"
"101792000","2120900","3291","751.2"
"102877000","2120900","3292","759.7"
"103955000","2120900","3292","766.8"
"105035000","2080400","3291","773.8"
"106115000","2080400","3291","782.3"
"107454000","2080400","3291","790.8"
"108533000","2080400","3292","799.3"
"109612000","2080400","3292","806.3"
"110691000","2080400","3291","813.4"
"111771000","2080400","3291","821.9"
"113112000","2119400","3291","830.3"
"114192000","2119400","3291","838.8"
"115271000","2119400","3292","845.9"
"116350000","2119400","3291","852.9"
"117430000","2119400","3291","860.0"
"118765000","2119400","3292","869.9"
"119844000","2119400","3291","876.9"
"120923000","2136800","3291","885.4"
"122002000","2136800","3291","892.5"
"123086000","2136800","3291","899.5"
"124420000","2136800","3291","909.4"
"125500000","2136800","3291","917.9"
"126579000","2136800","3291","924.9"
"127658000","2136800","3291","932.0"
"128738000","2135700","3291","940.5"
"130071000","2135700","3291","949.0"
"131151000","2135700","3291","957.4"
"132231000","2135700","3291","964.5"
"133316000","2135700","3291","971.5"
"134396000","2135700","3291","980.0"
"135730000","2135700","3292","988.5"
"136810000","2067100","3292","995.6"
"137890000","2067100","3292","1004.0"
"138970000","2067100","3292","1011.1"
"140049000","2067100","3292","1019.6"
"141383000","2067100","3292","1028.0"
"142469000","2067100","3292","1036.5"
