Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3336","39.5"
"1080000","0","3315","48.0"
"2160000","2136600","3302","55.0"
"3240000","2136600","3308","62.1"
"4325000","2136600","3305","70.6"
"5661000","2136600","3299","79.0"
"6741000","2136600","3301","87.5"
"7819000","2136600","3298","94.6"
"8899000","2136600","3298","101.6"
"9979000","2134800","3297","110.1"
"11313000","2134800","3296","118.6"
"12393000","2134800","3295","127.1"
"13472000","2134800","3293","134.1"
"14557000","2134800","3294","142.6"
"15637000","2134800","3294","149.6"
"16971000","2134800","3293","159.5"
"18051000","2120500","3293","166.6"
"19131000","2120500","3292","173.7"
"20210000","2120500","3294","180.7"
"21289000","2120500","3293","189.2"
"22624000","2120500","3292","197.7"
"23704000","2120500","3293","206.1"
"24788000","2120500","3292","213.2"
"25869000","2135000","3294","221.7"
"26948000","2135000","3293","228.7"
"28283000","2135000","3293","238.6"
"29363000","2135000","3292","245.7"
"30442000","2135000","3292","252.7"
"31526000","2135000","3292","261.2"
"32605000","2135000","3291","268.3"
"33940000","2120700","3292","278.2"
"35025000","2120700","3292","285.2"
"36104000","2120700","3291","292.3"
"37184000","2120700","3292","300.8"
"38263000","2120700","3292","307.8"
"39598000","2120700","3291","317.7"
"40677000","2120700","3291","324.8"
"41757000","2080000","3291","331.8"
"42837000","2080000","3291","340.3"
"43917000","2080000","3291","347.4"
"45257000","2080000","3291","357.2"
"46338000","2080000","3291","364.3"
"47417000","2080000","3292","372.8"
"48498000","2080000","3292","379.8"
"49577000","2134300","3291","386.9"
"50912000","2134300","3292","396.8"
"51990000","2134300","3291","403.8"
"53069000","2134300","3292","410.9"
"54155000","2134300","3292","419.4"
"55234000","2134300","3291","426.4"
"56570000","2134300","3291","436.3"
"57649000","2120700","3291","443.4"
"58729000","2120700","3291","450.4"
"59809000","2120700","3290","458.9"
"60889000","2120700","3290","466.0"
"62224000","2120700","3291","475.9"
"63303000","2120700","3290","482.9"
"64388000","2120700","3291","491.4"
"65468000","2134600","3290","498.5"
"66547000","2134600","3290","505.5"
"67882000","2134600","3290","515.4"
"68962000","2134600","3290","522.5"
"70043000","2134600","3291","531.0"
"71122000","2134600","3290","538.0"
"72201000","2134600","3290","545.1"
"73541000","2120400","3291","555.0"
"74627000","2120400","3290","562.0"
"75707000","2120400","3291","570.5"
"76786000","2120400","3290","577.5"
"77864000","2120400","3290","584.6"
"79199000","2120400","3291","594.5"
"80279000","2120400","3291","601.6"
"81360000","2134600","3291","610.0"
"82439000","2134600","3290","617.1"
"83519000","2134600","3291","625.6"
"84860000","2134600","3291","634.0"
"85940000","2134600","3292","641.1"
"87020000","2134600","3292","649.6"
"88100000","2134600","3291","656.6"
"89180000","2079200","3293","663.7"
"90514000","2079200","3292","673.6"
"91594000","2079200","3292","680.6"
"92674000","2079200","3293","689.1"
"93752000","2079200","3292","696.2"
"94838000","2079200","3292","704.7"
"96172000","2079200","3292","713.1"
"97252000","2173900","3293","721.6"
"98332000","2173900","3292","728.7"
"99412000","2173900","3293","735.7"
"100492000","2173900","3294","744.2"
"101828000","2173900","3293","752.7"
"102908000","2173900","3294","761.1"
"103988000","2173900","3293","768.2"
"105072000","2079200","3292","775.3"
"106152000","2079200","3293","783.7"
"107486000","2079200","3292","792.2"
"108565000","2079200","3293","800.7"
"109645000","2079200","3293","807.7"
"110724000","2079200","3293","814.8"
"111803000","2079200","3293","823.3"
"113138000","2122200","3293","831.7"
"114224000","2122200","3293","840.2"
"115308000","2122200","3292","847.3"
"116388000","2122200","3293","855.8"
"117467000","2122200","3293","862.8"
"118802000","2122200","3293","871.3"
"119882000","2122200","3293","879.8"
"120962000","2133400","3292","886.8"
"122041000","2133400","3293","893.9"
"123120000","2133400","3293","902.4"
"124462000","2133400","3293","910.8"
"125542000","2133400","3293","919.3"
"126622000","2133400","3292","926.4"
"127701000","2133400","3293","934.8"
"128780000","2134600","3293","941.9"
"130116000","2134600","3293","951.8"
"131195000","2134600","3293","958.9"
"132275000","2134600","3293","965.9"
"133355000","2134600","3293","974.4"
"134440000","2134600","3293","981.4"
"135775000","2134600","3294","991.3"
"136855000","2120000","3293","998.4"
"137934000","2120000","3292","1005.5"
"139014000","2120000","3293","1013.9"
"140092000","2120000","3292","1021.0"
"141427000","2120000","3293","1030.9"
"142507000","2120000","3291","1037.9"
"143587000","2120000","3292","1045.0"
"144672000","2135000","3293","1053.5"
"145753000","2135000","3291","1060.5"
"147087000","2135000","3292","1070.4"
"148167000","2135000","3291","1077.5"
"149246000","2135000","3292","1086.0"
"150326000","2135000","3293","1093.0"
"151406000","2135000","3292","1100.1"
"152740000","2121700","3292","1110.0"
"153820000","2121700","3292","1117.0"
"154907000","2121700","3293","1124.1"
"155987000","2121700","3292","1132.6"
"157072000","2121700","3292","1139.6"
"158407000","2121700","3292","1149.5"
"159487000","2121700","3292","1156.6"
"160567000","2132400","3292","1165.0"
"161647000","2132400","3293","1172.1"
"162727000","2132400","3292","1179.2"
"164062000","2132400","3293","1189.0"
"165146000","2132400","3292","1196.1"
"166225000","2132400","3292","1204.6"
"167306000","2132400","3292","1211.6"
"168385000","2079900","3292","1218.7"
"169721000","2079900","3292","1228.6"
"170800000","2079900","3291","1235.6"
"171879000","2079900","3292","1244.1"
"172958000","2079900","3292","1251.2"
"174038000","2079900","3291","1258.2"
"175379000","2079900","3292","1268.1"
"176458000","2120400","3292","1275.2"
"177538000","2120400","3292","1283.7"
"178618000","2120400","3291","1290.7"
"179698000","2120400","3292","1299.2"
"181033000","2120400","3291","1307.7"
"182113000","2120400","3292","1316.1"
"183192000","2120400","3292","1323.2"
"184277000","2134600","3291","1330.3"
"185357000","2134600","3292","1338.7"
"186692000","2134600","3292","1347.2"
"187770000","2134600","3292","1354.3"
"188850000","2134600","3291","1362.7"
"189929000","2134600","3291","1369.8"
"191008000","2134600","3292","1378.3"
"192345000","2121700","3291","1386.8"
"193424000","2121700","3291","1395.2"
"194510000","2121700","3291","1402.3"
"195589000","2121700","3292","1409.3"
"196670000","2121700","3292","1417.8"
"198005000","2121700","3293","1426.3"
"199090000","2121700","3293","1434.8"
"200169000","2133100","3292","1441.8"
"201249000","2133100","3292","1448.9"
"202329000","2133100","3293","1457.4"
"203664000","2133100","3292","1465.8"
"204750000","2133100","3293","1474.3"
"205829000","2133100","3292","1481.4"
"206908000","2133100","3291","1488.4"
"207986000","2135200","3292","1496.9"
"209321000","2135200","3291","1505.4"
"210400000","2135200","3292","1513.9"
"211479000","2135200","3291","1520.9"
"212558000","2135200","3291","1529.4"
"213639000","2135200","3292","1536.5"
"214980000","2135200","3291","1546.3"
"216059000","2120400","3291","1553.4"
"217139000","2120400","3291","1560.5"
"218220000","2120400","3291","1568.9"
"219300000","2120400","3291","1576.0"
"220632000","2120400","3291","1584.5"
"221712000","2120400","3291","1592.9"
"222791000","2120400","3290","1600.0"
"223870000","2136900","3291","1608.5"
"224955000","2136900","3291","1615.5"
"226290000","2136900","3291","1625.4"
"227369000","2136900","3291","1632.5"
"228449000","2136900","3291","1639.5"
"229529000","2136900","3292","1648.0"
"230610000","2136900","3292","1655.1"
"231945000","2119900","3292","1665.0"
"233023000","2119900","3291","1672.0"
"234104000","2119900","3292","1679.1"
"235189000","2119900","3292","1687.6"
"236268000","2119900","3291","1694.6"
"237604000","2119900","3292","1704.5"
"238683000","2119900","3291","1711.6"
"239762000","2079900","3291","1718.6"
"240846000","2079900","3292","1727.1"
"241927000","2079900","3291","1734.2"
"243262000","2079900","3291","1744.0"
"244346000","2079900","3291","1751.1"
"245426000","2079900","3292","1759.6"
"246505000","2079900","3292","1766.6"
"247584000","2133800","3291","1773.7"
"248920000","2133800","3292","1783.6"
"250000000","2133800","3291","1790.6"
"251080000","2133800","3292","1799.1"
"252159000","2133800","3291","1806.2"
"253239000","2133800","3291","1813.2"
"254579000","2133800","3291","1823.1"
"255659000","2119900","3290","1830.2"
"256738000","2119900","3291","1838.7"
"257817000","2119900","3291","1845.7"
"258897000","2119900","3290","1852.8"
"260231000","2119900","3291","1862.7"
"261312000","2119900","3290","1869.7"
