Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"182088000","2122200","3292","1316.1"
"183166000","2122200","3292","1323.2"
"184246000","2135500","3292","1331.7"
"185325000","2135500","3292","1338.7"
"186664000","2135500","3292","1348.6"
"187745000","2135500","3292","1355.7"
"188824000","2135500","3292","1364.2"
"189903000","2135500","3291","1371.2"
"190982000","2135500","3293","1379.7"
"192318000","2120500","3292","1388.2"
"193398000","2120500","3292","1395.2"
"194483000","2120500","3292","1403.7"
"195562000","2120500","3292","1410.8"
"196648000","2120500","3293","1417.8"
"197982000","2120500","3293","1427.7"
"199062000","2120500","3292","1434.8"
"200140000","2133800","3292","1443.3"
"201220000","2133800","3292","1450.3"
"202299000","2133800","3292","1458.8"
"203634000","2133800","3292","1467.3"
"204714000","2133800","3292","1475.7"
"205794000","2133800","3292","1482.8"
"206879000","2133800","3292","1489.9"
"207958000","2135000","3292","1498.3"
"209292000","2135000","3292","1506.8"
"210372000","2135000","3292","1515.3"
"211450000","2135000","3292","1522.3"
"212530000","2135000","3292","1529.4"
"213609000","2135000","3293","1537.9"
"214943000","2135000","3292","1546.3"
"216024000","2122200","3293","1554.8"
"217108000","2122200","3293","1561.9"
"218188000","2122200","3292","1568.9"
"219267000","2122200","3292","1577.4"
"220602000","2122200","3292","1585.9"
"221681000","2122200","3292","1594.4"
"222760000","2122200","3292","1601.4"
"223839000","2135500","3292","1609.9"
"224919000","2135500","3292","1617.0"
"226253000","2135500","3292","1625.4"
"227340000","2135500","3292","1633.9"
"228419000","2135500","3291","1641.0"
"229498000","2135500","3292","1649.4"
"230577000","2135500","3292","1656.5"
"231912000","2120500","3292","1666.4"
"232991000","2120500","3292","1673.4"
"234071000","2120500","3293","1680.5"
"235151000","2120500","3292","1689.0"
"236235000","2120500","3292","1696.0"
"237576000","2120500","3292","1705.9"
"238655000","2120500","3292","1713.0"
"239735000","2133400","3292","1721.5"
"240814000","2133400","3292","1728.5"
"241893000","2133400","3292","1735.6"
"243228000","2133400","3292","1745.5"
"244308000","2133400","3292","1752.5"
"245387000","2133400","3292","1761.0"
"246467000","2133400","3292","1768.1"
"247553000","2079900","3291","1775.1"
"248888000","2079900","3292","1785.0"
"249969000","2079900","3292","1792.1"
"251048000","2079900","3292","1800.6"
"252127000","2079900","3292","1807.6"
"253205000","2079900","3291","1816.1"
