Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3308","39.5"
"1080000","0","3290","46.5"
"2159000","2135400","3297","55.0"
"3239000","2135400","3293","62.1"
"4316000","2135400","3294","69.1"
"5656000","2135400","3291","79.0"
"6735000","2135400","3292","86.1"
"7815000","2135400","3292","94.6"
"8895000","2135400","3290","101.6"
"9974000","2080600","3291","108.7"
"11313000","2080600","3290","118.6"
"12392000","2080600","3288","125.6"
"13471000","2080600","3291","134.1"
"14551000","2080600","3290","141.2"
"15635000","2080600","3289","148.2"
"16970000","2080600","3290","158.1"
"18049000","2119700","3289","165.2"
"19128000","2119700","3290","173.7"
"20207000","2119700","3290","180.7"
"21285000","2119700","3288","187.8"
"22618000","2119700","3289","197.7"
"23698000","2119700","3289","204.7"
"24783000","2119700","3290","213.2"
"25862000","2136400","3289","220.3"
"26942000","2136400","3289","227.3"
"28277000","2136400","3289","237.2"
"29356000","2136400","3289","244.3"
"30436000","2136400","3290","252.7"
"31516000","2136400","3290","259.8"
"32595000","2136400","3289","266.9"
"33929000","2121900","3290","276.7"
"35014000","2121900","3289","283.8"
"36092000","2121900","3290","292.3"
"37172000","2121900","3289","299.3"
"38250000","2121900","3290","306.4"
"39585000","2121900","3289","316.3"
"40665000","2121900","3290","323.3"
"41744000","2135700","3290","331.8"
"42824000","2135700","3289","338.9"
"43903000","2135700","3290","345.9"
"45243000","2135700","3289","355.8"
"46322000","2135700","3289","362.9"
"47400000","2135700","3290","371.4"
"48479000","2135700","3289","378.4"
"49559000","2080700","3289","385.5"
"50894000","2080700","3289","395.4"
"52021000","2080700","3290","403.8"
"53100000","2080700","3289","410.9"
"54179000","2080700","3289","418.0"
"55264000","2080700","3289","426.4"
"56598000","2080700","3289","434.9"
"57678000","2161300","3290","443.4"
"58757000","2161300","3289","450.4"
"59836000","2161300","3289","457.5"
"60915000","2161300","3290","464.6"
"62250000","2161300","3290","474.4"
"63329000","2161300","3289","481.5"
"64408000","2161300","3290","490.0"
"65494000","2080200","3290","497.0"
"66573000","2080200","3290","505.5"
"67907000","2080200","3290","514.0"
"68986000","2080200","3291","522.5"
"70065000","2080200","3290","529.5"
"71144000","2080200","3290","536.6"
"72223000","2080200","3291","545.1"
"73558000","2122700","3290","553.5"
"74637000","2122700","3291","562.0"
"75722000","2122700","3290","569.1"
"76801000","2122700","3290","576.1"
"77881000","2122700","3291","584.6"
"79215000","2122700","3291","593.1"
"80296000","2122700","3291","601.6"
"81375000","2135000","3291","608.6"
"82455000","2135000","3291","615.7"
"83534000","2135000","3291","624.1"
"84874000","2135000","3291","632.6"
"85953000","2135000","3291","641.1"
"87033000","2135000","3291","648.2"
"88112000","2135000","3290","655.2"
"89190000","2135700","3291","663.7"
"90526000","2135700","3291","672.2"
"91605000","2135700","3292","679.2"
"92684000","2135700","3291","687.7"
"93763000","2135700","3291","694.8"
"94853000","2135700","3292","703.2"
"96188000","2135700","3292","711.7"
"97265000","2119900","3291","720.2"
"98345000","2119900","3291","727.2"
"99425000","2119900","3292","734.3"
"100505000","2119900","3292","742.8"
"101839000","2119900","3291","751.2"
"102919000","2119900","3292","759.7"
"103997000","2119900","3291","766.8"
"105080000","2080600","3292","773.8"
"106160000","2080600","3292","782.3"
"107494000","2080600","3292","790.8"
"108574000","2080600","3292","799.3"
"109653000","2080600","3292","806.3"
"110733000","2080600","3292","813.4"
"111812000","2080600","3292","821.9"
"113146000","2122200","3292","830.3"
"114225000","2122200","3292","838.8"
"115310000","2122200","3291","845.9"
"116388000","2122200","3291","852.9"
"117466000","2122200","3291","861.4"
"118801000","2122200","3291","869.9"
"119882000","2122200","3292","878.3"
"120961000","2135900","3291","885.4"
"122040000","2135900","3292","892.5"
"123120000","2135900","3291","900.9"
"124454000","2135900","3291","909.4"
"125539000","2135900","3291","917.9"
"126618000","2135900","3291","924.9"
"127697000","2135900","3291","932.0"
"128776000","2135500","3291","940.5"
"130111000","2135500","3291","948.9"
"131190000","2135500","3291","957.4"
"132270000","2135500","3291","964.5"
"133348000","2135500","3292","973.0"
"134427000","2135500","3291","980.0"
"135768000","2135500","3292","989.9"
"136852000","2119700","3291","997.0"
"137931000","2119700","3291","1004.0"
"139010000","2119700","3292","1012.5"
"140089000","2119700","3291","1019.6"
"141423000","2119700","3292","1029.5"
"142503000","2119700","3291","1036.5"
"143583000","2119700","3292","1043.6"
"144663000","2136800","3292","1052.0"
"145748000","2136800","3291","1059.1"
"147083000","2136800","3292","1069.0"
"148161000","2136800","3291","1076.1"
"149240000","2136800","3291","1083.1"
"150319000","2136800","3291","1091.6"
"151399000","2136800","3291","1098.6"
"152734000","2120900","3291","1108.5"
"153813000","2120900","3291","1115.6"
"154898000","2120900","3292","1122.7"
"155977000","2120900","3292","1131.1"
"157057000","2120900","3292","1138.2"
"158392000","2120900","3292","1148.1"
"159471000","2120900","3292","1155.1"
"160550000","2080400","3292","1162.2"
"161629000","2080400","3292","1170.7"
"162708000","2080400","3292","1177.7"
"164042000","2080400","3292","1187.6"
"165128000","2080400","3291","1194.7"
