Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3282","38.1"
"1079000","0","3279","45.1"
"2159000","2022900","3286","52.2"
"3239000","2022900","3291","59.2"
"4319000","2022900","3291","67.7"
"5655000","2022900","3289","76.2"
"6735000","2022900","3291","83.2"
"7820000","2022900","3293","90.3"
"8900000","2022900","3293","98.8"
"9980000","2079000","3292","105.8"
"11316000","2079000","3290","114.3"
"12395000","2079000","3291","121.4"
"13476000","2079000","3293","128.4"
"14556000","2079000","3293","136.9"
"15636000","2079000","3292","144.0"
"16977000","2079000","3291","152.4"
"18057000","2012600","3291","159.5"
"19137000","2012600","3292","166.5"
"20217000","2012600","3292","175.0"
"21297000","2012600","3291","182.1"
"22631000","2012600","3290","190.5"
"23711000","2012600","3291","197.6"
"24791000","2012600","3291","206.1"
"25871000","2080900","3290","213.1"
"26957000","2080900","3290","220.2"
"28292000","2080900","3290","228.7"
"29372000","2080900","3291","235.7"
"30452000","2080900","3291","244.2"
"31532000","2080900","3291","251.3"
"32611000","2080900","3290","258.3"
"33947000","2012800","3291","266.8"
"35026000","2012800","3291","273.8"
"36107000","2012800","3291","282.3"
"37192000","2012800","3291","289.4"
"38276000","2012800","3290","296.4"
"39612000","2012800","3290","304.9"
"40692000","2012800","3290","313.4"
"41771000","2078000","3290","320.4"
"42851000","2078000","3290","327.5"
"43931000","2078000","3290","334.6"
"45266000","2078000","3290","343.0"
"46346000","2078000","3291","351.5"
"47431000","2078000","3290","358.6"
"48511000","2078000","3290","365.6"
"49591000","2024200","3290","372.7"
"50927000","2024200","3291","381.1"
"52006000","2024200","3291","389.6"
"53085000","2024200","3290","396.7"
"54164000","2024200","3290","403.7"
"55243000","2024200","3290","410.8"
"56579000","2024200","3291","420.7"
"57664000","2066800","3291","427.7"
"58744000","2066800","3290","434.8"
"59824000","2066800","3290","441.9"
"60904000","2066800","3290","448.9"
"62239000","2066800","3290","458.8"
"63319000","2066800","3290","465.9"
"64399000","2066800","3289","472.9"
"65478000","2025700","3290","480.0"
"66558000","2025700","3290","487.0"
"67898000","2025700","3290","496.9"
"68978000","2025700","3290","504.0"
"70057000","2025700","3289","511.0"
"71136000","2025700","3289","518.1"
"72217000","2025700","3290","525.2"
"73552000","2066700","3290","535.0"
"74631000","2066700","3290","542.1"
"75711000","2066700","3290","549.2"
"76791000","2066700","3289","556.2"
"77876000","2066700","3290","564.7"
"79218000","2066700","3290","573.2"
"80299000","2066700","3290","580.2"
"81378000","2022700","3290","587.3"
"82459000","2022700","3290","594.3"
"83538000","2022700","3291","602.8"
"84874000","2022700","3291","611.3"
"85954000","2022700","3290","618.3"
"87040000","2022700","3290","625.4"
"88119000","2022700","3291","632.5"
"89200000","2078700","3291","640.9"
"90535000","2078700","3290","649.4"
"91614000","2078700","3290","656.5"
"92695000","2078700","3290","663.5"
"93775000","2078700","3291","672.0"
"94855000","2078700","3291","679.0"
"96190000","2078700","3291","687.5"
"97276000","2012800","3290","694.6"
"98355000","2012800","3291","703.1"
"99435000","2012800","3291","710.1"
"100516000","2012800","3291","717.2"
"101849000","2012800","3290","725.6"
"102929000","2012800","3291","732.7"
"104010000","2012800","3291","741.2"
"105090000","2080900","3291","748.2"
"106169000","2080900","3291","755.3"
"107510000","2080900","3291","763.8"
"108589000","2080900","3290","772.2"
"109670000","2080900","3291","779.3"
"110749000","2080900","3291","786.3"
"111829000","2080900","3291","793.4"
"113163000","2013400","3291","801.9"
"114244000","2013400","3291","810.4"
"115324000","2013400","3291","817.4"
"116404000","2013400","3291","824.5"
"117489000","2013400","3291","831.5"
"118824000","2013400","3291","841.4"
"119904000","2013400","3291","848.5"
"120983000","2079200","3291","855.5"
"122068000","2079200","3291","862.6"
"123147000","2079200","3291","869.6"
"124482000","2079200","3291","879.5"
"125563000","2079200","3291","886.6"
"126642000","2079200","3291","893.6"
"127728000","2079200","3291","900.7"
"128807000","2078200","3290","909.2"
"130142000","2078200","3290","917.7"
"131222000","2078200","3291","924.7"
"132302000","2078200","3290","931.8"
"133382000","2078200","3291","938.8"
"134462000","2078200","3290","947.3"
"135798000","2078200","3290","955.8"
"136876000","2014700","3290","962.8"
"137961000","2014700","3290","969.9"
"139040000","2014700","3290","978.4"
