Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3298","38.1"
"1079000","0","3290","46.5"
"2163000","2080900","3283","53.6"
"3242000","2080900","3290","62.1"
"4319000","2080900","3288","69.1"
"5653000","2080900","3287","79.0"
"6731000","2080900","3285","86.1"
"7809000","2080900","3291","93.1"
"8889000","2080900","3291","101.6"
"9968000","2138500","3290","108.7"
"11302000","2138500","3292","118.6"
"12387000","2138500","3291","125.6"
"13466000","2138500","3290","132.7"
"14545000","2138500","3291","141.2"
"15624000","2138500","3291","148.2"
"16958000","2138500","3290","158.1"
"18037000","2121600","3290","165.2"
"19116000","2121600","3290","172.2"
"20195000","2121600","3290","180.7"
"21274000","2121600","3289","187.8"
"22614000","2121600","3290","197.7"
"23694000","2121600","3289","204.7"
"24773000","2121600","3291","213.2"
"25852000","2135700","3290","220.3"
"26931000","2135700","3289","227.3"
"28265000","2135700","3290","237.2"
"29345000","2135700","3290","244.3"
"30424000","2135700","3292","251.3"
"31510000","2135700","3292","259.8"
"32590000","2135700","3291","266.9"
"33924000","2120500","3292","276.7"
"35004000","2120500","3291","283.8"
"36082000","2120500","3291","292.3"
"37166000","2120500","3291","299.3"
"38245000","2120500","3291","306.4"
"39580000","2120500","3291","316.3"
"40658000","2120500","3290","323.3"
"41742000","2135000","3291","331.8"
"42819000","2135000","3291","338.9"
"43899000","2135000","3290","345.9"
"45233000","2135000","3290","355.8"
"46313000","2135000","3290","362.9"
"47392000","2135000","3291","371.4"
"48472000","2135000","3291","378.4"
"49551000","2082100","3290","385.5"
"50885000","2082100","3291","395.4"
"51971000","2082100","3290","402.4"
"53049000","2082100","3291","410.9"
"54129000","2082100","3290","418.0"
"55208000","2082100","3291","426.4"
"56543000","2082100","3291","434.9"
"57622000","2120900","3291","442.0"
"58702000","2120900","3291","450.4"
"59780000","2120900","3290","457.5"
"60859000","2120900","3291","466.0"
"62199000","2120900","3291","474.5"
"63278000","2120900","3291","481.5"
"64357000","2120900","3290","490.0"
"65436000","2136100","3290","497.0"
"66514000","2136100","3291","504.1"
"67849000","2136100","3290","514.0"
"68928000","2136100","3291","521.1"
"70008000","2136100","3291","529.5"
"71085000","2136100","3290","536.6"
"72170000","2136100","3291","545.1"
"73505000","2121400","3290","553.5"
"74584000","2121400","3291","562.0"
"75662000","2121400","3291","569.1"
"76741000","2121400","3290","576.1"
"77819000","2121400","3291","584.6"
"79160000","2121400","3290","593.1"
"80239000","2121400","3291","601.6"
"81317000","2136400","3291","608.6"
"82402000","2136400","3290","615.7"
"83480000","2136400","3291","624.2"
"84815000","2136400","3290","632.6"
"85893000","2136400","3291","641.1"
"86972000","2136400","3290","648.2"
"88049000","2136400","3290","655.2"
"89128000","2136800","3290","663.7"
"90462000","2136800","3290","672.2"
"91546000","2136800","3290","680.6"
"92625000","2136800","3289","687.7"
"93704000","2136800","3290","694.8"
"94784000","2136800","3290","703.2"
"96118000","2136800","3290","711.7"
"97198000","2121200","3291","720.2"
"98277000","2121200","3290","727.2"
"99356000","2121200","3291","735.7"
"100435000","2121200","3291","742.8"
"101775000","2121200","3291","752.7"
"102854000","2121200","3291","759.7"
"103933000","2121200","3290","766.8"
"105012000","2136100","3290","775.3"
"106091000","2136100","3290","782.3"
"107425000","2136100","3290","792.2"
"108504000","2136100","3291","799.3"
"109583000","2136100","3290","806.3"
"110661000","2136100","3290","814.8"
"111745000","2136100","3290","821.9"
"113081000","2121400","3290","831.7"
"114160000","2121400","3290","838.8"
"115238000","2121400","3290","845.9"
"116317000","2121400","3291","854.3"
"117397000","2121400","3290","861.4"
"118730000","2121400","3290","871.3"
"119809000","2121400","3290","878.3"
"120894000","2136200","3290","886.8"
"121979000","2136200","3290","893.9"
"123058000","2136200","3290","900.9"
"124392000","2136200","3290","910.8"
"125469000","2136200","3289","917.9"
"126548000","2136200","3290","926.4"
"127626000","2136200","3290","933.4"
"128705000","2081800","3289","940.5"
"130039000","2081800","3290","950.4"
"131119000","2081800","3289","957.4"
"132203000","2081800","3290","965.9"
"133283000","2081800","3290","973.0"
"134362000","2081800","3290","980.0"
"135696000","2081800","3290","989.9"
"136776000","2120900","3289","997.0"
"137855000","2120900","3290","1005.5"
"138934000","2120900","3290","1012.5"
"140013000","2120900","3290","1021.0"
"141349000","2120900","3291","1029.5"
"142433000","2120900","3290","1036.5"
"143512000","2120900","3290","1045.0"
"144591000","2135700","3290","1052.1"
"145670000","2135700","3291","1059.1"
"147005000","2135700","3290","1069.0"
"148085000","2135700","3290","1076.1"
"149163000","2135700","3291","1084.5"
"150242000","2135700","3290","1091.6"
"151321000","2135700","3291","1100.1"
"152661000","2121100","3290","1108.5"
"153741000","2121100","3291","1117.0"
"154820000","2121100","3291","1124.1"
"155899000","2121100","3291","1131.1"
"156978000","2121100","3291","1139.6"
"158313000","2121100","3290","1148.1"
"159392000","2121100","3291","1156.6"
"160471000","2137100","3291","1163.6"
"161557000","2137100","3290","1170.7"
"162641000","2137100","3291","1179.2"
"163974000","2137100","3290","1187.6"
"165053000","2137100","3291","1196.1"
"166132000","2137100","3291","1203.2"
"167211000","2137100","3290","1210.2"
"168289000","2134800","3291","1218.7"
"169624000","2134800","3290","1227.2"
"170704000","2134800","3291","1235.6"
"171789000","2134800","3291","1242.7"
"172868000","2134800","3291","1251.2"
"173947000","2134800","3291","1258.2"
"175281000","2134800","3291","1268.1"
"176360000","2120900","3291","1275.2"
"177439000","2120900","3291","1282.2"
"178520000","2120900","3291","1290.7"
"179599000","2120900","3291","1297.8"
"180933000","2120900","3291","1306.3"
"182018000","2120900","3291","1314.7"
"183098000","2120900","3291","1321.8"
"184177000","2135400","3291","1330.3"
"185256000","2135400","3291","1337.3"
"186590000","2135400","3292","1347.2"
"187669000","2135400","3292","1354.3"
"188746000","2135400","3291","1362.8"
"189825000","2135400","3291","1369.8"
"190905000","2135400","3291","1376.9"
"192245000","2121600","3291","1386.8"
"193324000","2121600","3291","1393.8"
"194403000","2121600","3291","1402.3"
"195482000","2121600","3291","1409.4"
"196561000","2121600","3290","1416.4"
"197895000","2121600","3290","1426.3"
"198974000","2121600","3290","1433.4"
"200053000","2082400","3291","1440.4"
"201132000","2082400","3291","1448.9"
"202217000","2082400","3290","1456.0"
"203552000","2082400","3291","1465.8"
"204636000","2082400","3291","1472.9"
"205716000","2082400","3291","1481.4"
"206794000","2082400","3291","1488.4"
"207874000","2189200","3291","1496.9"
"209208000","2189200","3291","1505.4"
"210287000","2189200","3290","1512.4"
"211365000","2189200","3290","1520.9"
"212451000","2189200","3290","1528.0"
"213528000","2189200","3290","1535.0"
"214862000","2189200","3290","1544.9"
"215942000","2068300","3290","1552.0"
"217021000","2068300","3290","1560.5"
"218100000","2068300","3290","1567.5"
"219179000","2068300","3290","1576.0"
"220514000","2068300","3290","1584.5"
"221599000","2068300","3290","1592.9"
"222678000","2068300","3290","1600.0"
"223757000","2135700","3291","1607.1"
"224837000","2135700","3290","1615.5"
"226172000","2135700","3290","1624.0"
"227251000","2135700","3290","1632.5"
"228330000","2135700","3291","1639.5"
"229409000","2135700","3290","1646.6"
"230487000","2135700","3290","1655.1"
"231828000","2120900","3290","1663.5"
"232906000","2120900","3291","1672.0"
"233986000","2120900","3290","1679.1"
"235064000","2120900","3290","1686.1"
"236144000","2120900","3290","1694.6"
"237478000","2120900","3290","1704.5"
"238557000","2120900","3290","1711.6"
"239637000","2137300","3290","1718.6"
"240717000","2137300","3290","1727.1"
"241801000","2137300","3290","1734.2"
"243135000","2137300","3290","1744.1"
"244214000","2137300","3291","1751.1"
"245293000","2137300","3290","1758.2"
"246376000","2137300","3291","1766.6"
"247455000","2135000","3290","1773.7"
"248790000","2135000","3291","1783.6"
"249869000","2135000","3291","1790.7"
"250949000","2135000","3290","1797.7"
"252033000","2135000","3291","1806.2"
"253112000","2135000","3291","1813.2"
"254447000","2135000","3291","1823.1"
"255526000","2120700","3291","1830.2"
"256605000","2120700","3291","1838.7"
"257685000","2120700","3291","1845.7"
"258764000","2120700","3291","1852.8"
"260099000","2120700","3291","1862.7"
"261176000","2120700","3291","1869.7"
"262262000","2120700","3292","1878.2"
"263341000","2135700","3292","1885.3"
"264421000","2135700","3291","1892.3"
"265754000","2135700","3291","1902.2"
"266834000","2135700","3292","1909.3"
"267912000","2135700","3292","1917.8"
"268991000","2135700","3292","1924.8"
"270070000","2135700","3292","1931.9"
"271405000","2122700","3292","1941.8"
"272490000","2122700","3292","1948.8"
"273569000","2122700","3292","1957.3"
"274647000","2122700","3292","1964.4"
"275726000","2122700","3292","1972.8"
"277060000","2122700","3292","1981.3"
"278140000","2122700","3292","1988.4"
"279219000","2136200","3292","1996.8"
"280298000","2136200","3291","2003.9"
"281377000","2136200","3292","2012.4"
"282717000","2136200","3292","2020.8"
"283796000","2136200","3292","2029.3"
"284876000","2136200","3292","2036.4"
"285955000","2136200","3293","2043.4"
"287034000","2135500","3292","2051.9"
"288374000","2135500","3292","2060.4"
"289453000","2135500","3292","2068.9"
"290533000","2135500","3292","2075.9"
"291617000","2135500","3292","2084.4"
"292696000","2135500","3292","2091.5"
"294031000","2135500","3292","2099.9"
"295109000","2119900","3292","2108.4"
"296188000","2119900","3292","2115.5"
"297267000","2119900","3292","2123.9"
"298346000","2119900","3293","2131.0"
"299681000","2119900","3292","2139.5"
"300760000","2119900","3292","2148.0"
"301845000","2119900","3292","2155.0"
"302924000","2135700","3292","2163.5"
"304003000","2135700","3292","2170.5"
"305338000","2135700","3292","2180.4"
"306416000","2135700","3291","2187.5"
"307494000","2135700","3292","2194.6"
"308574000","2135700","3292","2203.0"
"309653000","2135700","3292","2210.1"
"310986000","2123300","3292","2220.0"
"312070000","2123300","3292","2227.0"
"313149000","2123300","3291","2234.1"
"314229000","2123300","3291","2242.6"
"315308000","2123300","3292","2249.6"
"316642000","2123300","3291","2259.5"
"317720000","2123300","3291","2266.6"
"318800000","2136100","3291","2275.1"
"319879000","2136100","3291","2282.1"
"320958000","2136100","3291","2289.2"
"322298000","2136100","3291","2299.1"
"323377000","2136100","3291","2306.1"
"324456000","2136100","3291","2314.6"
"325535000","2136100","3291","2321.7"
"326614000","2080900","3291","2328.7"
"327948000","2080900","3291","2338.6"
"329026000","2080900","3290","2345.7"
"330109000","2080900","3291","2354.1"
"331189000","2080900","3291","2361.2"
"332273000","2080900","3290","2368.3"
"333607000","2080900","3291","2378.1"
"334686000","2120500","3289","2385.2"
"335765000","2120500","3290","2393.7"
"336844000","2120500","3290","2400.7"
"337923000","2120500","3290","2409.2"
"339258000","2120500","3290","2417.7"
"340337000","2120500","3290","2426.2"
"341417000","2120500","3290","2433.2"
"342501000","2135700","3290","2440.3"
"343580000","2135700","3290","2448.8"
"344913000","2135700","3290","2457.2"
"345992000","2135700","3291","2465.7"
"347072000","2135700","3291","2472.8"
"348151000","2135700","3290","2479.8"
"349229000","2135700","3290","2488.3"
"350564000","2123100","3290","2496.8"
"351649000","2123100","3291","2505.3"
"352728000","2123100","3291","2512.3"
"353807000","2123100","3290","2519.4"
"354886000","2123100","3290","2527.8"
"356220000","2123100","3290","2536.3"
"357299000","2123100","3290","2544.8"
"358378000","2135900","3290","2551.8"
"359457000","2135900","3290","2560.3"
"360536000","2135900","3291","2567.4"
"361877000","2135900","3291","2577.3"
"362956000","2135900","3291","2584.3"
"364033000","2135900","3290","2591.4"
"365112000","2135900","3290","2599.9"
"366192000","2136100","3291","2606.9"
"367526000","2136100","3290","2616.8"
"368606000","2136100","3290","2623.9"
"369685000","2136100","3291","2630.9"
"370764000","2136100","3290","2639.4"
"371853000","2136100","3290","2646.5"
"373189000","2136100","3291","2656.4"
"374268000","2119500","3291","2663.4"
"375348000","2119500","3291","2671.9"
"376427000","2119500","3291","2679.0"
"377506000","2119500","3291","2686.0"
"378841000","2119500","3291","2695.9"
"379919000","2119500","3291","2703.0"
"380997000","2119500","3291","2710.0"
"382081000","2136200","3291","2718.5"
"383160000","2136200","3290","2725.6"
"384495000","2136200","3291","2735.4"
"385574000","2136200","3291","2742.5"
"386653000","2136200","3291","2751.0"
"387732000","2136200","3291","2758.0"
"388811000","2136200","3291","2765.1"
"390145000","2122700","3291","2775.0"
"391224000","2122700","3292","2782.0"
"392309000","2122700","3291","2790.5"
"393389000","2122700","3291","2797.6"
"394467000","2122700","3291","2806.1"
"395802000","2122700","3292","2814.5"
"396881000","2122700","3291","2821.6"
"397960000","2135900","3291","2830.1"
"399038000","2135900","3291","2837.1"
"400117000","2135900","3292","2844.2"
"401452000","2135900","3292","2854.1"
"402536000","2135900","3291","2862.5"
"403615000","2135900","3291","2869.6"
"404694000","2135900","3292","2876.7"
"405773000","2136200","3291","2885.1"
"407107000","2136200","3291","2893.6"
"408186000","2136200","3291","2902.1"
"409266000","2136200","3291","2909.1"
"410344000","2136200","3291","2916.2"
"411423000","2136200","3291","2924.7"
"412763000","2136200","3290","2933.2"
"413846000","2120200","3291","2941.6"
"414925000","2120200","3291","2948.7"
"416003000","2120200","3290","2955.7"
"417082000","2120200","3291","2964.2"
"418417000","2120200","3291","2972.7"
"419496000","2120200","3291","2981.2"
"420575000","2120200","3291","2988.2"
"421660000","2136100","3291","2996.7"
"422739000","2136100","3291","3003.8"
"424073000","2136100","3291","3013.7"
"425151000","2136100","3291","3020.7"
"426231000","2136100","3291","3027.8"
"427310000","2136100","3291","3036.3"
"428389000","2136100","3292","3043.3"
"429724000","2122900","3292","3053.2"
"430803000","2122900","3292","3060.3"
"431887000","2122900","3291","3067.3"
"432966000","2122900","3291","3075.8"
"434045000","2122900","3291","3082.9"
"435379000","2122900","3291","3092.7"
"436459000","2122900","3291","3099.8"
"437538000","2135900","3292","3108.3"
"438617000","2135900","3292","3115.3"
"439695000","2135900","3292","3122.4"
"441030000","2135900","3292","3132.3"
"442115000","2135900","3293","3139.3"
"443194000","2135900","3292","3147.8"
"444274000","2135900","3292","3154.9"
"445353000","2080600","3292","3161.9"
"446687000","2080600","3292","3171.8"
"447766000","2080600","3291","3178.9"
"448845000","2080600","3292","3187.4"
"449925000","2080600","3292","3194.4"
"451002000","2080600","3291","3201.5"
"452341000","2080600","3291","3211.4"
"453421000","2121700","3292","3218.4"
"454500000","2121700","3292","3226.9"
"455578000","2121700","3292","3234.0"
"456662000","2121700","3291","3242.4"
"457995000","2121700","3291","3250.9"
"459074000","2121700","3292","3259.4"
"460153000","2121700","3292","3266.4"
"461232000","2136800","3291","3273.5"
"462316000","2136800","3292","3282.0"
"463650000","2136800","3292","3290.5"
"464730000","2136800","3292","3298.9"
"465809000","2136800","3293","3306.0"
"466888000","2136800","3292","3313.0"
"467967000","2136800","3292","3321.5"
"469302000","2121200","3293","3330.0"
"470381000","2121200","3293","3338.5"
"471460000","2121200","3293","3345.5"
"472545000","2121200","3293","3352.6"
"473624000","2121200","3293","3361.1"
"474959000","2121200","3293","3369.5"
"476038000","2121200","3293","3378.0"
"477117000","2135700","3293","3385.1"
"478196000","2135700","3294","3392.1"
"479276000","2135700","3294","3400.6"
"480610000","2135700","3294","3409.1"
"481695000","2135700","3295","3417.6"
"482774000","2135700","3293","3424.6"
"483852000","2135700","3294","3431.7"
"484932000","2135700","3294","3440.2"
"486266000","2135700","3294","3448.6"
"487346000","2135700","3294","3457.1"
"488425000","2135700","3293","3464.2"
"489504000","2135700","3294","3472.6"
"490582000","2135700","3294","3479.7"
"491922000","2135700","3293","3489.6"
"493000000","2121600","3293","3496.6"
"494079000","2121600","3293","3503.7"
"495158000","2121600","3293","3512.2"
"496238000","2121600","3293","3519.2"
"497626000","2121600","3294","3529.1"
"498705000","2121600","3292","3536.2"
"499784000","2121600","3293","3543.2"
"500863000","2122700","3293","3551.7"
"501946000","2122700","3292","3558.8"
"503281000","2122700","3293","3568.7"
"504360000","2122700","3293","3575.7"
"505439000","2122700","3293","3584.2"
"506518000","2122700","3293","3591.3"
"507597000","2122700","3293","3598.3"
"508931000","2121600","3293","3608.2"
"510009000","2121600","3292","3615.3"
"511087000","2121600","3292","3623.7"
"512172000","2121600","3293","3630.8"
"513252000","2121600","3292","3637.9"
"514586000","2121600","3292","3647.7"
"515665000","2121600","3291","3654.8"
"516744000","2136400","3292","3663.3"
"517823000","2136400","3292","3670.3"
"518902000","2136400","3292","3677.4"
"520237000","2136400","3292","3687.3"
"521316000","2136400","3292","3695.8"
"522401000","2136400","3292","3702.8"
"523480000","2136400","3292","3709.9"
"524559000","2135700","3292","3718.4"
"525893000","2135700","3292","3726.8"
"526973000","2135700","3292","3735.3"
"528053000","2135700","3292","3742.4"
"529132000","2135700","3291","3749.4"
"530211000","2135700","3292","3757.9"
"531551000","2135700","3291","3766.4"
"532630000","2120900","3291","3774.9"
"533708000","2120900","3292","3781.9"
"534787000","2120900","3290","3789.0"
"535866000","2120900","3291","3797.4"
"537201000","2120900","3291","3805.9"
"538280000","2120900","3291","3814.4"
"539359000","2120900","3291","3821.5"
"540444000","2136100","3291","3829.9"
"541528000","2136100","3291","3837.0"
"542863000","2136100","3291","3846.9"
"543942000","2136100","3290","3853.9"
"545020000","2136100","3291","3861.0"
"546098000","2136100","3291","3869.5"
"547178000","2136100","3291","3876.5"
"548512000","2121600","3291","3886.4"
"549592000","2121600","3291","3893.5"
"550671000","2121600","3291","3900.5"
"551756000","2121600","3291","3909.0"
"552835000","2121600","3291","3916.1"
"554168000","2121600","3291","3926.0"
"555247000","2121600","3290","3933.0"
"556325000","2136200","3291","3941.5"
"557405000","2136200","3291","3948.6"
"558483000","2136200","3291","3955.6"
"559818000","2136200","3291","3965.5"
"560897000","2136200","3291","3972.6"
"561982000","2136200","3291","3981.0"
"563061000","2136200","3291","3988.1"
"564140000","2080700","3290","3995.2"
"565475000","2080700","3291","4005.0"
"566554000","2080700","3291","4012.1"
"567633000","2080700","3291","4020.6"
"568713000","2080700","3291","4027.6"
"569792000","2080700","3291","4034.7"
"571126000","2080700","3291","4044.6"
"572211000","2120900","3292","4051.6"
"573290000","2120900","3292","4060.1"
"574370000","2120900","3291","4067.2"
"575448000","2120900","3292","4075.7"
"576783000","2120900","3292","4084.1"
"577861000","2120900","3292","4091.2"
"578940000","2120900","3292","4099.7"
"580019000","2137500","3292","4106.7"
"581098000","2137500","3292","4113.8"
"582444000","2137500","3292","4123.7"
"583522000","2137500","3292","4130.7"
"584602000","2137500","3292","4139.2"
"585681000","2137500","3292","4146.3"
"586760000","2137500","3292","4154.7"
"588095000","2119700","3292","4163.2"
"589174000","2119700","3292","4171.7"
"590253000","2119700","3292","4178.7"
"591331000","2119700","3292","4185.8"
"592415000","2119700","3292","4194.3"
"593750000","2119700","3292","4202.8"
"594829000","2119700","3292","4211.2"
"595909000","2136100","3292","4218.3"
"596986000","2136100","3291","4225.3"
"598065000","2136100","3291","4233.8"
"599400000","2136100","3291","4242.3"
"600479000","2136100","3292","4250.8"
"601563000","2136100","3292","4257.8"
"602642000","2136100","3292","4264.9"
"603722000","2136200","3291","4273.4"
"605055000","2136200","3292","4283.3"
"606134000","2136200","3292","4290.3"
"607212000","2136200","3291","4297.4"
"608291000","2136200","3291","4305.9"
"609370000","2136200","3292","4312.9"
"610704000","2136200","3291","4322.8"
"611789000","2121900","3291","4329.9"
"612867000","2121900","3290","4336.9"
"613946000","2121900","3291","4345.4"
"615025000","2121900","3291","4352.5"
"616359000","2121900","3291","4360.9"
"617438000","2121900","3291","4369.4"
"618517000","2121900","3290","4376.5"
"619596000","2138000","3291","4384.9"
"620675000","2138000","3291","4392.0"
"622014000","2138000","3290","4401.9"
"623093000","2138000","3291","4408.9"
"624178000","2138000","3290","4416.0"
"625257000","2138000","3290","4424.5"
"626336000","2138000","3290","4431.5"
"627670000","2119900","3290","4441.4"
"628748000","2119900","3290","4448.5"
"629826000","2119900","3290","4455.5"
"630905000","2119900","3290","4464.0"
"631989000","2119900","3289","4471.1"
"633324000","2119900","3290","4481.0"
"634403000","2119900","3290","4488.0"
"635480000","2137100","3290","4496.5"
"636560000","2137100","3290","4503.6"
"637639000","2137100","3289","4510.6"
"638974000","2137100","3289","4520.5"
"640053000","2137100","3289","4527.6"
"641133000","2137100","3289","4536.0"
"642218000","2137100","3289","4543.1"
"643296000","2135500","3289","4551.6"
"644631000","2135500","3289","4560.1"
"645710000","2135500","3289","4567.1"
"646790000","2135500","3289","4575.6"
"647869000","2135500","3289","4582.6"
"648949000","2135500","3289","4589.7"
"650282000","2135500","3290","4599.6"
"651360000","2069300","3289","4606.7"
"652445000","2069300","3289","4615.1"
"653525000","2069300","3289","4622.2"
"654604000","2069300","3289","4630.7"
"655938000","2069300","3290","4639.1"
"657018000","2069300","3290","4647.6"
"658096000","2069300","3290","4654.7"
"659174000","2136100","3289","4661.7"
"660253000","2136100","3290","4670.2"
"661592000","2136100","3289","4678.7"
"662671000","2136100","3290","4687.2"
"663749000","2136100","3290","4694.2"
"664828000","2136100","3289","4701.3"
"665912000","2136100","3290","4709.8"
"667246000","2120700","3290","4718.2"
"668325000","2120700","3290","4726.7"
"669404000","2120700","3290","4733.8"
"670483000","2120700","3290","4740.8"
"671567000","2120700","3290","4749.3"
"672900000","2120700","3290","4759.2"
"673979000","2120700","3290","4766.2"
"675059000","2136200","3291","4773.3"
"676138000","2136200","3290","4781.8"
"677217000","2136200","3290","4788.8"
"678552000","2136200","3291","4798.7"
"679631000","2136200","3290","4805.8"
"680710000","2136200","3290","4812.8"
"681795000","2136200","3291","4821.3"
"682874000","2135700","3291","4828.4"
"684208000","2135700","3290","4838.3"
"685286000","2135700","3290","4845.3"
"686366000","2135700","3290","4852.4"
"687445000","2135700","3290","4860.9"
"688523000","2135700","3290","4867.9"
"689858000","2135700","3290","4877.8"
"690938000","2122600","3290","4884.9"
"692023000","2122600","3291","4893.3"
"693102000","2122600","3291","4900.4"
"694182000","2122600","3291","4907.5"
"695516000","2122600","3291","4917.4"
"696596000","2122600","3291","4924.4"
"697675000","2122600","3291","4931.5"
"698754000","2135500","3292","4939.9"
"699833000","2135500","3291","4947.0"
"701168000","2135500","3291","4956.9"
"702253000","2135500","3291","4963.9"
"703332000","2135500","3291","4972.4"
"704411000","2135500","3291","4979.5"
"705490000","2135500","3291","4988.0"
"706824000","2121100","3291","4996.4"
"707909000","2121100","3292","5003.5"
"708988000","2121100","3292","5012.0"
"710068000","2121100","3292","5019.0"
"711147000","2121100","3292","5027.5"
"712488000","2121100","3292","5036.0"
"713566000","2121100","3291","5043.0"
"714645000","2134300","3291","5051.5"
"715722000","2134300","3291","5058.6"
"716801000","2134300","3291","5065.6"
"718136000","2134300","3291","5075.5"
"719215000","2134300","3291","5084.0"
"720294000","2134300","3291","5091.1"
"721374000","2134300","3291","5098.1"
"722459000","2135900","3291","5106.6"
"723793000","2135900","3291","5115.1"
"724872000","2135900","3291","5123.5"
"725951000","2135900","3290","5130.6"
"727030000","2135900","3291","5137.7"
"728110000","2135900","3291","5146.1"
"729445000","2135900","3291","5154.6"
"730523000","2122700","3292","5163.1"
"731607000","2122700","3291","5170.1"
"732685000","2122700","3291","5177.2"
"733765000","2122700","3291","5185.7"
"735099000","2122700","3290","5194.1"
"736177000","2122700","3291","5202.6"
"737257000","2122700","3291","5209.7"
"738337000","2136100","3291","5218.2"
"739415000","2136100","3291","5225.2"
"740748000","2136100","3291","5235.1"
"741832000","2136100","3291","5242.2"
"742911000","2136100","3292","5249.2"
"743990000","2136100","3292","5257.7"
"745071000","2136100","3292","5264.8"
"746405000","2121600","3292","5274.6"
"747484000","2121600","3292","5281.7"
"748563000","2121600","3291","5288.8"
"749647000","2121600","3291","5297.2"
"750726000","2121600","3291","5304.3"
"752066000","2121600","3292","5314.2"
"753144000","2121600","3292","5321.2"
"754223000","2134800","3292","5329.7"
"755303000","2134800","3291","5336.8"
"756382000","2134800","3291","5343.8"
"757717000","2134800","3291","5353.7"
"758796000","2134800","3291","5360.8"
"759875000","2134800","3291","5369.3"
"760954000","2134800","3291","5376.3"
"762038000","2080700","3291","5383.4"
"763372000","2080700","3291","5393.3"
"764450000","2080700","3290","5400.3"
"765529000","2080700","3291","5408.8"
"766607000","2080700","3291","5415.9"
"767686000","2080700","3290","5422.9"
"769021000","2080700","3291","5432.8"
"770101000","2123100","3291","5439.9"
"771180000","2123100","3291","5448.4"
"772265000","2123100","3291","5455.4"
"773344000","2123100","3291","5463.9"
"774678000","2123100","3291","5472.4"
"775758000","2123100","3292","5480.8"
"776837000","2123100","3292","5487.9"
"777916000","2135700","3291","5495.0"
"778994000","2135700","3292","5503.4"
"780328000","2135700","3291","5511.9"
"781406000","2135700","3292","5519.0"
"782490000","2135700","3292","5527.4"
"783568000","2135700","3291","5534.5"
"784647000","2135700","3291","5543.0"
"785981000","2122400","3291","5551.4"
"787059000","2122400","3291","5559.9"
"788137000","2122400","3290","5567.0"
"789217000","2122400","3292","5574.0"
"790296000","2122400","3291","5582.5"
"791641000","2122400","3292","5592.4"
"792720000","2122400","3291","5599.5"
"793798000","2135200","3291","5606.5"
"794877000","2135200","3291","5613.6"
"795957000","2135200","3291","5622.1"
"797290000","2135200","3292","5630.5"
"798370000","2135200","3292","5639.0"
"799448000","2135200","3291","5646.1"
"800527000","2135200","3291","5653.1"
"801612000","2135900","3292","5661.6"
"802947000","2135900","3291","5670.1"
"804027000","2135900","3291","5678.5"
"805105000","2135900","3291","5685.6"
"806183000","2135900","3291","5694.1"
"807262000","2135900","3291","5701.1"
"808597000","2135900","3291","5711.0"
"809675000","2123100","3291","5718.1"
"810755000","2123100","3290","5725.1"
"811839000","2123100","3291","5733.6"
"812918000","2123100","3291","5740.7"
"814253000","2123100","3291","5750.6"
"815332000","2123100","3291","5757.6"
"816410000","2123100","3291","5764.7"
"817489000","2135900","3291","5773.2"
"818568000","2135900","3291","5780.2"
"819902000","2135900","3291","5790.1"
"820981000","2135900","3291","5797.2"
"822065000","2135900","3291","5805.7"
