Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"182058000","2173600","3292","1311.9"
"183137000","2173600","3292","1318.9"
"184216000","2080400","3292","1326.0"
"185295000","2080400","3292","1334.5"
"186635000","2080400","3292","1342.9"
"187713000","2080400","3292","1351.4"
"188798000","2080400","3291","1358.5"
"189878000","2080400","3292","1365.5"
"190957000","2080400","3291","1374.0"
"192292000","2119500","3291","1382.5"
"193372000","2119500","3292","1391.0"
"194450000","2119500","3291","1398.0"
"195529000","2119500","3291","1405.1"
"196609000","2119500","3292","1413.6"
"197944000","2119500","3292","1422.0"
"199027000","2119500","3291","1429.1"
"200107000","2135700","3291","1437.6"
"201186000","2135700","3291","1444.6"
"202266000","2135700","3291","1451.7"
"203602000","2135700","3291","1461.6"
"204681000","2135700","3291","1468.6"
"205760000","2135700","3291","1477.1"
"206841000","2135700","3291","1484.2"
"207920000","2136200","3291","1492.6"
"209260000","2136200","3291","1501.1"
"210340000","2136200","3292","1509.6"
"211419000","2136200","3292","1516.6"
"212498000","2136200","3292","1523.7"
"213578000","2136200","3292","1532.2"
"214913000","2136200","3292","1540.7"
"215992000","2067300","3292","1547.7"
"217071000","2067300","3292","1556.2"
"218150000","2067300","3292","1563.2"
"219236000","2067300","3293","1570.3"
"220571000","2067300","3293","1580.2"
"221651000","2067300","3292","1587.3"
"222731000","2067300","3292","1595.7"
"223810000","2135000","3292","1602.8"
"224889000","2135000","3292","1611.3"
"226223000","2135000","3291","1619.7"
"227302000","2135000","3292","1628.2"
"228386000","2135000","3292","1635.3"
"229472000","2135000","3292","1642.3"
"230551000","2135000","3292","1650.8"
"231886000","2119500","3291","1659.3"
"232966000","2119500","3291","1667.8"
"234045000","2119500","3291","1674.8"
"235124000","2119500","3291","1681.9"
"236203000","2119500","3292","1690.4"
"237538000","2119500","3292","1698.8"
"238621000","2119500","3291","1707.3"
"239700000","2135900","3291","1714.4"
"240780000","2135900","3291","1721.4"
"241859000","2135900","3291","1729.9"
"243193000","2135900","3291","1738.4"
"244274000","2135900","3291","1746.8"
"245353000","2135900","3291","1753.9"
"246432000","2135900","3292","1761.0"
"247511000","2136800","3292","1769.4"
"248852000","2136800","3292","1777.9"
"249931000","2136800","3292","1786.4"
"251010000","2136800","3292","1793.4"
"252089000","2136800","3292","1800.5"
"253169000","2136800","3292","1809.0"
"254503000","2136800","3292","1817.4"
"255583000","2120700","3292","1825.9"
"256661000","2120700","3292","1833.0"
"257741000","2120700","3292","1840.0"
"258825000","2120700","3292","1848.5"
"260160000","2120700","3291","1857.0"
"261239000","2120700","3292","1865.5"
"262318000","2120700","3292","1872.5"
"263397000","2080900","3292","1879.6"
"264477000","2080900","3292","1888.1"
"265811000","2080900","3292","1896.5"
"266891000","2080900","3292","1903.6"
"267970000","2080900","3292","1912.1"
"269055000","2080900","3292","1919.1"
"270140000","2080900","3292","1926.2"
"271474000","2119200","3292","1936.1"
"272554000","2119200","3291","1943.1"
"273633000","2119200","3292","1951.6"
"274712000","2119200","3292","1958.7"
"275791000","2119200","3292","1967.1"
"277127000","2119200","3292","1975.6"
"278205000","2119200","3291","1984.1"
"279290000","2135500","3291","1991.1"
"280368000","2135500","3291","1998.2"
"281447000","2135500","3292","2006.7"
"282783000","2135500","3292","2015.2"
"283862000","2135500","3291","2022.2"
"284941000","2135500","3291","2030.7"
"286021000","2135500","3292","2037.7"
"287101000","2081800","3292","2044.8"
"288436000","2081800","3292","2054.7"
"289522000","2081800","3292","2061.8"
"290601000","2081800","3292","2070.2"
"291680000","2081800","3292","2077.3"
"292759000","2081800","3292","2085.8"
"294093000","2081800","3292","2094.2"
"295174000","2173800","3293","2102.7"
"296252000","2173800","3293","2109.8"
"297331000","2173800","3292","2116.8"
"298411000","2173800","3293","2125.3"
"299751000","2173800","3293","2133.8"
"300829000","2173800","3293","2140.8"
"301909000","2173800","3293","2149.3"
"302987000","2081100","3292","2156.4"
"304066000","2081100","3292","2164.9"
"305400000","2081100","3292","2173.3"
"306479000","2081100","3292","2181.8"
"307558000","2081100","3292","2188.9"
"308644000","2081100","3292","2195.9"
"309723000","2081100","3292","2204.4"
"311058000","2120700","3292","2212.9"
"312142000","2120700","3292","2221.3"
"313222000","2120700","3292","2228.4"
"314301000","2120700","3292","2235.5"
"315380000","2120700","3292","2243.9"
"316715000","2120700","3292","2252.4"
"317794000","2120700","3292","2260.9"
"318879000","2134300","3292","2267.9"
"319958000","2134300","3292","2275.0"
"321037000","2134300","3292","2283.5"
"322372000","2134300","3292","2291.9"
"323452000","2134300","3292","2300.4"
"324532000","2134300","3291","2307.5"
"325611000","2134300","3291","2314.5"
"326690000","2136600","3291","2323.0"
"328025000","2136600","3291","2331.5"
"329110000","2136600","3292","2340.0"
"330189000","2136600","3291","2347.0"
"331268000","2136600","3291","2354.1"
"332348000","2136600","3291","2362.6"
"333682000","2136600","3291","2371.0"
"334761000","2067500","3292","2378.1"
"335841000","2067500","3292","2386.6"
"336921000","2067500","3292","2393.6"
"338000000","2067500","3292","2400.7"
"339340000","2067500","3292","2410.6"
"340419000","2067500","3293","2417.6"
"341498000","2067500","3292","2426.1"
"342578000","2135400","3292","2433.2"
"343657000","2135400","3292","2441.6"
"344992000","2135400","3292","2450.1"
"346071000","2135400","3292","2457.2"
"347150000","2135400","3292","2465.6"
"348230000","2135400","3292","2472.7"
"349314000","2135400","3292","2479.8"
"350648000","2121100","3292","2489.7"
"351727000","2121100","3291","2496.7"
"352806000","2121100","3292","2505.2"
"353890000","2121100","3292","2512.2"
"354969000","2121100","3292","2519.3"
"356304000","2121100","3292","2529.2"
"357384000","2121100","3292","2536.3"
"358470000","2133900","3293","2544.7"
"359549000","2133900","3293","2551.8"
"360628000","2133900","3293","2560.3"
"361963000","2133900","3293","2568.7"
"363040000","2133900","3293","2575.8"
"364120000","2133900","3293","2584.3"
"365198000","2133900","3292","2591.3"
"366278000","2082400","3293","2598.4"
"367613000","2082400","3293","2608.3"
"368698000","2082400","3292","2615.3"
"369777000","2082400","3293","2623.8"
"370857000","2082400","3293","2630.9"
"371936000","2082400","3293","2637.9"
"373270000","2082400","3293","2647.8"
"374349000","2120700","3293","2654.9"
"375430000","2120700","3293","2663.4"
"376509000","2120700","3293","2670.4"
"377588000","2120700","3293","2678.9"
"378928000","2120700","3293","2687.4"
"380008000","2120700","3293","2695.8"
"381088000","2120700","3293","2702.9"
"382167000","2134800","3293","2710.0"
"383247000","2134800","3293","2718.4"
"384580000","2134800","3293","2726.9"
"385659000","2134800","3293","2734.0"
"386738000","2134800","3293","2742.4"
"387817000","2134800","3293","2749.5"
"388902000","2134800","3293","2758.0"
"390237000","2121400","3293","2766.4"
"391316000","2121400","3293","2774.9"
"392395000","2121400","3293","2782.0"
"393475000","2121400","3293","2789.0"
"394554000","2121400","3292","2797.5"
"395892000","2121400","3292","2806.0"
"396971000","2121400","3292","2814.5"
"398050000","2136200","3292","2821.5"
"399135000","2136200","3292","2828.6"
"400214000","2136200","3292","2837.1"
"401550000","2136200","3292","2845.5"
"402628000","2136200","3292","2852.6"
"403707000","2136200","3292","2861.1"
"404786000","2136200","3292","2868.1"
"405867000","2080000","3292","2875.2"
"407200000","2080000","3292","2885.1"
"408280000","2080000","3293","2892.1"
"409364000","2080000","3293","2900.6"
"410444000","2080000","3292","2907.7"
"411523000","2080000","3293","2916.1"
"412859000","2080000","3293","2924.6"
"413938000","2120900","3291","2931.7"
"415017000","2120900","3292","2940.2"
"416096000","2120900","3292","2947.2"
"417175000","2120900","3292","2954.3"
"418515000","2120900","3292","2964.2"
"419595000","2120900","3292","2971.2"
"420674000","2120900","3292","2979.7"
"421753000","2135700","3292","2986.7"
"422832000","2135700","3292","2993.8"
"424166000","2135700","3292","3003.7"
"425245000","2135700","3292","3010.8"
"426324000","2135700","3292","3019.2"
"427403000","2135700","3292","3026.3"
"428488000","2135700","3292","3034.8"
"429823000","2121200","3292","3043.2"
"430901000","2121200","3292","3050.3"
"431981000","2121200","3292","3058.8"
"433060000","2121200","3292","3065.8"
"434139000","2121200","3292","3072.9"
"435474000","2121200","3292","3082.8"
"436553000","2121200","3291","3089.8"
"437637000","2135900","3292","3098.3"
"438722000","2135900","3292","3105.4"
"439803000","2135900","3292","3113.9"
"441137000","2135900","3292","3122.3"
"442216000","2135900","3291","3130.8"
"443296000","2135900","3291","3137.9"
"444375000","2135900","3292","3144.9"
"445455000","2134800","3291","3153.4"
"446790000","2134800","3291","3161.9"
"447870000","2134800","3292","3168.9"
"448955000","2134800","3292","3177.4"
"450034000","2134800","3292","3184.5"
"451112000","2134800","3292","3191.5"
"452447000","2134800","3292","3201.4"
"453526000","2067500","3292","3208.5"
"454606000","2067500","3292","3216.9"
"455685000","2067500","3292","3224.0"
"456765000","2067500","3292","3232.5"
"458100000","2067500","3292","3240.9"
"459186000","2067500","3293","3249.4"
"460265000","2067500","3293","3256.5"
"461344000","2134800","3293","3263.5"
"462423000","2134800","3292","3272.0"
"463757000","2134800","3292","3280.5"
"464837000","2134800","3293","3287.5"
"465917000","2134800","3293","3296.0"
"466996000","2134800","3293","3303.1"
"468076000","2134800","3293","3310.1"
"469417000","2120400","3293","3320.0"
"470496000","2120400","3293","3327.1"
"471575000","2120400","3293","3335.6"
"472655000","2120400","3293","3342.6"
"473734000","2120400","3293","3349.7"
"475069000","2120400","3293","3359.6"
"476147000","2120400","3293","3366.6"
"477227000","2137300","3293","3375.1"
"478307000","2137300","3293","3382.2"
"479395000","2137300","3293","3389.2"
"480731000","2137300","3293","3399.1"
"481810000","2137300","3292","3406.2"
"482889000","2137300","3293","3414.7"
"483968000","2137300","3293","3421.7"
"485047000","2079000","3292","3428.8"
"486382000","2079000","3293","3438.7"
"487462000","2079000","3293","3445.7"
"488547000","2079000","3293","3454.2"
"489627000","2079000","3294","3461.2"
"490706000","2079000","3292","3468.3"
"492040000","2079000","3293","3478.2"
"493119000","2120700","3293","3485.3"
"494199000","2120700","3293","3493.7"
"495277000","2120700","3293","3500.8"
"496356000","2120700","3293","3507.8"
"497691000","2120700","3293","3517.7"
"498774000","2120700","3292","3524.8"
"499853000","2120700","3293","3533.3"
"500931000","2136600","3292","3540.3"
"502010000","2136600","3292","3547.4"
"503345000","2136600","3293","3557.3"
"504425000","2136600","3292","3564.3"
"505504000","2136600","3292","3572.8"
"506583000","2136600","3292","3579.9"
"507663000","2136600","3292","3586.9"
"509004000","2120400","3292","3596.8"
"510084000","2120400","3293","3603.9"
"511163000","2120400","3292","3612.4"
"512243000","2120400","3292","3619.4"
"513321000","2120400","3292","3626.5"
"514656000","2120400","3292","3636.4"
"515735000","2120400","3291","3643.4"
"516815000","2136900","3292","3651.9"
"517894000","2136900","3292","3659.0"
"518980000","2136900","3291","3666.0"
"520313000","2136900","3292","3675.9"
"521398000","2136900","3291","3683.0"
"522477000","2136900","3291","3691.4"
"523557000","2136900","3291","3698.5"
"524637000","2133800","3291","3707.0"
"525972000","2133800","3291","3715.4"
"527050000","2133800","3291","3723.9"
"528130000","2133800","3290","3731.0"
"529215000","2133800","3291","3738.0"
"530293000","2133800","3291","3746.5"
"531627000","2133800","3290","3755.0"
"532706000","2067800","3291","3762.0"
"533786000","2067800","3291","3770.5"
"534865000","2067800","3291","3777.6"
"535945000","2067800","3291","3784.6"
"537280000","2067800","3291","3794.5"
"538360000","2067800","3291","3801.6"
"539446000","2067800","3291","3810.1"
"540524000","2135000","3291","3817.1"
"541602000","2135000","3292","3824.2"
"542936000","2135000","3291","3834.1"
"544016000","2135000","3292","3841.1"
"545095000","2135000","3291","3849.6"
"546175000","2135000","3291","3856.7"
"547254000","2135000","3292","3863.7"
"548595000","2120900","3291","3873.6"
"549673000","2120900","3291","3880.7"
"550752000","2120900","3291","3889.2"
"551831000","2120900","3291","3896.2"
"552911000","2120900","3291","3903.3"
"554246000","2120900","3291","3913.2"
"555325000","2120900","3292","3920.2"
"556405000","2137100","3292","3928.7"
"557485000","2137100","3292","3935.7"
"558569000","2137100","3292","3942.8"
"559904000","2137100","3292","3952.7"
"560983000","2137100","3292","3959.8"
"562062000","2137100","3292","3968.2"
"563142000","2137100","3292","3975.3"
"564224000","2079500","3291","3982.3"
"565558000","2079500","3291","3992.2"
"566637000","2079500","3290","3999.3"
"567716000","2079500","3291","4007.8"
"568802000","2079500","3291","4014.8"
"569881000","2079500","3290","4021.9"
"571215000","2079500","3291","4031.8"
"572295000","2120700","3291","4038.8"
"573375000","2120700","3291","4047.3"
"574454000","2120700","3291","4054.4"
"575533000","2120700","3291","4061.4"
"576868000","2120700","3291","4071.3"
"577946000","2120700","3291","4078.4"
"579030000","2120700","3291","4086.9"
"580109000","2136100","3291","4093.9"
"581189000","2136100","3291","4101.0"
"582525000","2136100","3291","4110.9"
"583604000","2136100","3291","4117.9"
"584683000","2136100","3292","4126.4"
"585762000","2136100","3291","4133.5"
"586842000","2136100","3291","4140.5"
"588176000","2122100","3292","4150.4"
"589261000","2122100","3291","4157.5"
"590341000","2122100","3292","4165.9"
"591420000","2122100","3292","4173.0"
"592498000","2122100","3291","4180.1"
"593833000","2122100","3291","4189.9"
"594912000","2122100","3291","4197.0"
"595991000","2135700","3291","4205.5"
"597071000","2135700","3291","4212.5"
"598150000","2135700","3291","4219.6"
"599490000","2135700","3292","4229.5"
"600570000","2135700","3291","4236.5"
"601650000","2135700","3291","4245.0"
"602729000","2135700","3291","4252.1"
"603808000","2079900","3291","4259.1"
"605192000","2079900","3291","4269.0"
"606271000","2079900","3291","4277.5"
"607351000","2079900","3291","4284.6"
"608429000","2079900","3290","4291.6"
"609513000","2079900","3291","4300.1"
"610847000","2079900","3291","4308.6"
"611927000","2161500","3291","4317.0"
"613007000","2161500","3291","4324.1"
"614086000","2161500","3290","4331.2"
"615165000","2161500","3291","4339.6"
"616500000","2161500","3291","4348.1"
"617579000","2161500","3291","4355.2"
"618664000","2161500","3291","4363.6"
"619742000","2080600","3291","4370.7"
"620821000","2080600","3291","4377.8"
"622156000","2080600","3291","4387.7"
"623236000","2080600","3291","4394.7"
"624315000","2080600","3291","4403.2"
"625395000","2080600","3291","4410.2"
"626474000","2080600","3292","4418.7"
"627809000","2121900","3291","4427.2"
"628894000","2121900","3292","4434.3"
"629974000","2121900","3291","4442.7"
"631053000","2121900","3291","4449.8"
"632132000","2121900","3291","4456.8"
"633467000","2121900","3291","4466.7"
"634547000","2121900","3291","4473.8"
"635627000","2135000","3292","4482.3"
"636706000","2135000","3292","4489.3"
"637785000","2135000","3290","4496.4"
"639126000","2135000","3291","4506.3"
"640206000","2135000","3291","4513.3"
"641284000","2135000","3291","4521.8"
"642365000","2135000","3291","4528.9"
"643444000","2135000","3292","4537.4"
"644779000","2135000","3291","4545.8"
"645858000","2135000","3292","4552.9"
"646938000","2135000","3291","4561.4"
"648023000","2135000","3291","4568.4"
"649107000","2135000","3291","4576.9"
"650442000","2135000","3291","4585.4"
"651522000","2065800","3291","4592.4"
"652600000","2065800","3291","4600.9"
"653679000","2065800","3292","4608.0"
"654758000","2065800","3290","4615.0"
"656092000","2065800","3291","4624.9"
"657172000","2065800","3291","4632.0"
"658251000","2065800","3291","4640.4"
"659336000","2136100","3291","4647.5"
"660415000","2136100","3291","4656.0"
"661750000","2136100","3291","4664.4"
"662829000","2136100","3291","4672.9"
"663909000","2136100","3292","4680.0"
"664988000","2136100","3292","4687.0"
"666067000","2136100","3291","4695.5"
"667401000","2122400","3291","4704.0"
"668486000","2122400","3292","4712.5"
"669566000","2122400","3292","4719.5"
"670646000","2122400","3292","4726.6"
"671725000","2122400","3292","4735.1"
"673060000","2122400","3292","4743.5"
"674139000","2122400","3292","4752.0"
"675218000","2135200","3291","4759.1"
"676297000","2135200","3292","4766.1"
"677376000","2135200","3292","4774.6"
"678717000","2135200","3291","4783.1"
"679795000","2135200","3292","4791.5"
"680875000","2135200","3292","4798.6"
"681954000","2135200","3292","4805.7"
"683032000","2135900","3291","4814.1"
"684368000","2135900","3292","4822.6"
"685447000","2135900","3291","4829.7"
"686527000","2135900","3292","4838.1"
"687606000","2135900","3292","4845.2"
"688690000","2135900","3291","4852.3"
"690030000","2135900","3291","4862.2"
"691109000","2066000","3292","4869.2"
"692188000","2066000","3291","4877.7"
"693267000","2066000","3291","4884.7"
"694346000","2066000","3292","4893.2"
"695681000","2066000","3291","4901.7"
"696761000","2066000","3292","4908.8"
"697841000","2066000","3292","4917.2"
"698927000","2135000","3292","4924.3"
"700006000","2135000","3292","4931.3"
"701341000","2135000","3292","4941.2"
"702420000","2135000","3291","4948.3"
"703499000","2135000","3292","4956.8"
"704578000","2135000","3292","4963.8"
"705657000","2135000","3292","4970.9"
"706992000","2122400","3292","4980.8"
"708072000","2122400","3293","4987.8"
"709158000","2122400","3293","4996.3"
"710237000","2122400","3293","5003.4"
"711316000","2122400","3294","5011.9"
"712651000","2122400","3293","5020.3"
"713730000","2122400","3293","5027.4"
"714810000","2134800","3293","5035.9"
"715889000","2134800","3293","5042.9"
"716969000","2134800","3293","5050.0"
"718304000","2134800","3293","5059.9"
"719389000","2134800","3292","5066.9"
"720468000","2134800","3293","5075.4"
"721546000","2134800","3293","5082.5"
"722624000","2080700","3293","5089.5"
"723959000","2080700","3293","5099.4"
"725038000","2080700","3293","5106.5"
"726118000","2080700","3293","5114.9"
"727197000","2080700","3293","5122.0"
"728276000","2080700","3293","5130.5"
"729617000","2080700","3293","5138.9"
"730695000","2121100","3293","5146.0"
"731778000","2121100","3293","5154.5"
"732857000","2121100","3292","5161.5"
"733936000","2121100","3293","5168.6"
"735270000","2121100","3293","5178.5"
"736349000","2121100","3293","5185.5"
"737428000","2121100","3293","5194.0"
"738512000","2135200","3293","5201.1"
"739592000","2135200","3293","5209.6"
"740926000","2135200","3293","5218.0"
"742006000","2135200","3294","5226.5"
"743085000","2135200","3293","5233.6"
"744165000","2135200","3293","5240.6"
"745243000","2135200","3294","5249.1"
"746578000","2122100","3293","5257.6"
"747658000","2122100","3293","5266.1"
"748744000","2122100","3293","5273.1"
"749822000","2122100","3293","5280.2"
"750901000","2122100","3293","5288.6"
"752235000","2122100","3293","5297.1"
"753314000","2122100","3293","5304.2"
"754393000","2135900","3293","5312.6"
"755472000","2135900","3293","5319.7"
"756552000","2135900","3292","5326.8"
"757886000","2135900","3292","5336.7"
"758971000","2135900","3293","5343.7"
"760050000","2135900","3292","5352.2"
"761130000","2135900","3292","5359.2"
"762210000","2135200","3292","5367.7"
"763545000","2135200","3293","5376.2"
"764624000","2135200","3291","5383.3"
"765703000","2135200","3292","5391.7"
"766783000","2135200","3292","5398.8"
"767862000","2135200","3291","5405.8"
"769202000","2135200","3291","5415.7"
"770281000","2067300","3291","5422.8"
"771361000","2067300","3291","5431.3"
"772440000","2067300","3292","5438.3"
"773524000","2067300","3291","5445.4"
"774859000","2067300","3291","5455.3"
