Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3315","38.1"
"1079000","0","3299","45.1"
"2159000","2024200","3291","52.2"
"3239000","2024200","3294","59.2"
"4319000","2024200","3289","66.3"
"5653000","2024200","3293","76.2"
"6739000","2024200","3291","83.2"
"7819000","2024200","3289","90.3"
"8898000","2024200","3294","97.4"
"9979000","2079400","3294","105.8"
"11313000","2079400","3292","114.3"
"12393000","2079400","3293","121.4"
"13474000","2079400","3291","128.4"
"14553000","2079400","3293","136.9"
"15633000","2079400","3293","144.0"
"16974000","2079400","3292","152.4"
"18054000","2012900","3292","159.5"
"19133000","2012900","3293","166.5"
"20213000","2012900","3292","175.0"
"21293000","2012900","3292","182.1"
"22633000","2012900","3292","190.5"
"23713000","2012900","3292","197.6"
"24794000","2012900","3293","206.1"
"25874000","2079400","3292","213.1"
"26959000","2079400","3292","220.2"
"28294000","2079400","3293","228.7"
"29374000","2079400","3293","237.1"
"30455000","2079400","3293","244.2"
"31533000","2079400","3292","251.3"
"32613000","2079400","3293","258.3"
"33948000","2066700","3293","268.2"
"35028000","2066700","3292","275.3"
"36112000","2066700","3292","282.3"
"37192000","2066700","3292","289.4"
"38273000","2066700","3292","296.4"
"39608000","2066700","3292","306.3"
"40688000","2066700","3292","313.4"
"41767000","2024200","3292","320.4"
"42847000","2024200","3292","327.5"
"43927000","2024200","3292","334.6"
"45262000","2024200","3292","344.4"
"46348000","2024200","3292","351.5"
"47428000","2024200","3292","358.6"
"48508000","2024200","3292","365.6"
"49588000","2079200","3292","374.1"
"50923000","2079200","3292","382.6"
"52003000","2079200","3292","389.6"
"53083000","2079200","3292","396.7"
"54164000","2079200","3293","403.7"
"55243000","2079200","3293","412.2"
"56585000","2079200","3292","420.7"
"57664000","2012600","3292","427.7"
"58743000","2012600","3293","434.8"
"59824000","2012600","3292","443.3"
"60903000","2012600","3292","450.3"
"62239000","2012600","3292","458.8"
"63319000","2012600","3293","465.9"
"64404000","2012600","3293","474.3"
"65484000","2079400","3292","481.4"
"66569000","2079400","3292","488.5"
"67905000","2079400","3293","496.9"
"68985000","2079400","3293","505.4"
"70065000","2079400","3293","512.5"
"71143000","2079400","3292","519.5"
"72224000","2079400","3292","526.6"
"73560000","2066200","3293","536.5"
"74640000","2066200","3292","543.5"
"75719000","2066200","3292","550.6"
"76805000","2066200","3292","557.6"
"77885000","2066200","3293","564.7"
"79219000","2066200","3292","574.6"
"80299000","2066200","3292","581.6"
"81379000","2024400","3292","588.7"
"82459000","2024400","3292","595.8"
"83539000","2024400","3292","604.2"
"84875000","2024400","3291","612.7"
"85954000","2024400","3291","619.8"
"87040000","2024400","3291","626.8"
"88120000","2024400","3292","635.3"
"89201000","2078700","3291","642.4"
"90535000","2078700","3291","650.8"
"91615000","2078700","3291","657.9"
"92695000","2078700","3291","666.4"
"93775000","2078700","3291","673.4"
"94853000","2078700","3291","680.5"
"96194000","2078700","3291","688.9"
"97275000","2066800","3291","697.4"
"98354000","2066800","3292","704.5"
"99433000","2066800","3291","711.5"
"100514000","2066800","3291","718.6"
"101847000","2066800","3291","728.5"
"102928000","2066800","3291","735.5"
"104007000","2066800","3291","742.6"
"105086000","2026200","3291","749.7"
"106177000","2026200","3290","756.7"
"107513000","2026200","3291","766.6"
"108592000","2026200","3290","773.7"
"109672000","2026200","3290","780.7"
"110752000","2026200","3290","787.8"
"111832000","2026200","3290","796.3"
"113167000","2065000","3290","804.7"
"114247000","2065000","3290","811.8"
"115326000","2065000","3290","818.8"
"116412000","2065000","3291","827.3"
"117492000","2065000","3291","834.4"
"118826000","2065000","3290","842.8"
"119906000","2065000","3290","849.9"
"120985000","2079700","3290","858.4"
"122065000","2079700","3290","865.4"
"123145000","2079700","3289","872.5"
"124479000","2079700","3289","881.0"
"125559000","2079700","3289","889.4"
"126645000","2079700","3289","896.5"
"127723000","2079700","3289","903.6"
"128803000","2024700","3289","910.6"
"130137000","2024700","3289","920.5"
"131217000","2024700","3289","927.6"
"132295000","2024700","3289","934.6"
"133375000","2024700","3289","941.7"
"134455000","2024700","3289","948.7"
"135790000","2024700","3289","958.6"
"136876000","2067000","3289","965.7"
"137955000","2067000","3289","972.7"
"139035000","2067000","3289","979.8"
"140115000","2067000","3289","988.3"
"141451000","2067000","3289","996.7"
"142530000","2067000","3289","1003.8"
"143611000","2067000","3289","1010.9"
"144690000","2080700","3289","1019.3"
"145770000","2080700","3289","1026.4"
"147109000","2080700","3289","1034.9"
"148194000","2080700","3289","1041.9"
"149273000","2080700","3289","1050.4"
"150353000","2080700","3289","1057.5"
"151432000","2080700","3289","1064.5"
"152767000","2012600","3288","1073.0"
"153847000","2012600","3288","1081.5"
"154926000","2012600","3288","1088.5"
"156005000","2012600","3288","1095.6"
"157091000","2012600","3288","1102.6"
"158426000","2012600","3288","1112.5"
"159506000","2012600","3288","1119.6"
"160586000","2079500","3288","1126.6"
"161666000","2079500","3288","1133.7"
"162746000","2079500","3289","1140.7"
"164081000","2079500","3289","1150.6"
"165159000","2079500","3289","1157.7"
"166245000","2079500","3289","1164.8"
"167324000","2079500","3288","1171.8"
"168404000","2079700","3288","1180.3"
"169739000","2079700","3288","1188.8"
"170818000","2079700","3287","1195.8"
"171898000","2079700","3287","1202.9"
"172977000","2079700","3287","1209.9"
"174057000","2079700","3288","1218.4"
"175392000","2079700","3288","1226.9"
"176477000","2013600","3288","1233.9"
"177557000","2013600","3288","1242.4"
"178637000","2013600","3288","1249.5"
"179716000","2013600","3288","1256.5"
"181051000","2013600","3288","1265.0"
"182130000","2013600","3288","1273.5"
"183211000","2013600","3288","1280.5"
"184290000","2081100","3288","1287.6"
"185371000","2081100","3288","1294.6"
"186712000","2081100","3288","1304.5"
"187792000","2081100","3288","1311.6"
"188872000","2081100","3289","1318.7"
"189955000","2081100","3288","1325.7"
"191035000","2081100","3288","1332.8"
"192370000","2065300","3288","1342.7"
"193449000","2065300","3288","1349.7"
"194530000","2065300","3288","1356.8"
"195610000","2065300","3288","1363.8"
"196695000","2065300","3288","1372.3"
"198030000","2065300","3288","1380.8"
"199109000","2065300","3288","1387.8"
"200190000","2024100","3288","1394.9"
"201269000","2024100","3288","1401.9"
"202348000","2024100","3289","1410.4"
"203683000","2024100","3289","1418.9"
"204763000","2024100","3289","1426.0"
"205843000","2024100","3288","1433.0"
"206928000","2024100","3289","1441.5"
"208008000","2079700","3289","1448.5"
"209344000","2079700","3289","1457.0"
"210423000","2079700","3289","1464.1"
"211504000","2079700","3289","1472.5"
"212583000","2079700","3289","1479.6"
"213663000","2079700","3289","1486.7"
"214997000","2079700","3290","1495.1"
"216083000","2066500","3290","1503.6"
"217163000","2066500","3290","1510.7"
"218242000","2066500","3289","1517.7"
"219321000","2066500","3290","1524.8"
"220656000","2066500","3289","1534.7"
"221736000","2066500","3289","1541.7"
"222816000","2066500","3290","1548.8"
"223895000","2026100","3290","1555.8"
"224976000","2026100","3289","1562.9"
"226316000","2026100","3290","1572.8"
"227395000","2026100","3290","1579.8"
"228475000","2026100","3289","1586.9"
"229555000","2026100","3289","1594.0"
"230635000","2026100","3289","1602.4"
"231975000","2065300","3290","1610.9"
"233054000","2065300","3290","1618.0"
"234134000","2065300","3289","1625.0"
"235214000","2065300","3290","1633.5"
"236298000","2065300","3290","1640.6"
"237633000","2065300","3290","1649.0"
"238713000","2065300","3290","1656.1"
"239793000","2079700","3290","1664.6"
"240873000","2079700","3290","1671.6"
"241953000","2079700","3290","1678.7"
"243288000","2079700","3290","1687.1"
"244368000","2079700","3290","1695.6"
"245449000","2079700","3290","1702.7"
"246534000","2079700","3290","1709.7"
"247613000","2024100","3290","1716.8"
"248949000","2024100","3290","1726.7"
"250030000","2024100","3291","1733.7"
"251110000","2024100","3290","1740.8"
"252190000","2024100","3291","1747.9"
"253269000","2024100","3290","1754.9"
"254605000","2024100","3290","1764.8"
"255685000","2067300","3291","1771.9"
"256770000","2067300","3290","1778.9"
"257850000","2067300","3290","1786.0"
"258930000","2067300","3290","1793.0"
"260265000","2067300","3290","1802.9"
"261345000","2067300","3290","1810.0"
"262425000","2067300","3290","1817.0"
"263505000","2024100","3290","1824.1"
"264585000","2024100","3290","1832.6"
"265920000","2024100","3290","1841.0"
