Methods,Block Size,Time (ns),Current (nA),Voltage (mV),Energy (uJ),cnt
aes_sw_128,128,189701564000,2079900,3290,1297757.5,1000
aes_sw_192,128,189889831000,2081400,3290,1300326.9,1000
aes_sw_256,128,190325333000,2080200,3292,1302838.2,1000
aes_acc_128,128,18683606000,2078800,3290,126422.4,10000
aes_acc_192,128,22825487000,2025600,3291,155045.3,10000
aes_acc_256,128,26261091000,2014900,3289,178216.3,10000
aes_acc_dma_128,128,13699669000,2066200,3291,93425.4,10000
aes_acc_dma_192,128,16823121000,2080900,3290,114800,10000
aes_acc_dma_256,128,19977566000,2067500,3289,136420.5,10000
